Ctry,Technology,Year,Lcoh,Part_capex,Part_fixed_om,Part_variable_om,Part_feedstock_cost,Part_co2_cost,Part_co2_td_cost,Part_by_product_sale
ARE,SMR_CCS,2020,1.3563305653396855,0.5360123278822556,0.17862509012256667,0.06359364,0.4080085363451187,0.0805298932646717,0.089561077725073,0.0
ARE,SMR_CCS,2030,1.153381293834658,0.4335300274624166,0.1445821917808219,0.00839916,0.39677894360167465,0.0805298932646717,0.089561077725073,0.0
ARE,SMR_CCS,2040,1.1284829526568545,0.42032338065383035,0.14037689257390049,0.00839916,0.38929254843937905,0.08052989326467172,0.089561077725073,0.0
ARE,SMR_CCS,2050,1.1036107797252865,0.4071429020914793,0.1361715933669791,0.008399160000000001,0.38180615327708345,0.08052989326467172,0.089561077725073,0.0
ARE,ATR_CCS,2020,0.9240113182873612,0.28030452883869794,0.09343373828406633,0.06182715,0.36382555704218156,0.028271402931582406,0.09634894119083288,0.0
ARE,ATR_CCS,2030,0.7960605071554814,0.22771128684986067,0.08175101658255225,0.008165849999999999,0.35381200960065323,0.028271402931582406,0.09634894119083287,0.0
ARE,ATR_CCS,2040,0.7752271159050437,0.21355359389377462,0.08175101658255227,0.008165849999999999,0.3471363113063015,0.028271402931582403,0.09634894119083288,0.0
ARE,ATR_CCS,2050,0.7544220230124029,0.19942419929548566,0.08175101658255227,0.008165849999999999,0.34046061301194963,0.028271402931582406,0.09634894119083288,0.0
ARE,GHR_CCS,2020,0.9086852297317272,0.2908160658214649,0.09693414924297045,0.06182715,0.3482344957450519,0.013529942514103489,0.09734342640813647,0.0
ARE,GHR_CCS,2030,0.7590687661107521,0.24397622444994774,0.08759437995674116,0.008165849999999999,0.3159054754220633,0.01262123775000001,0.09080559853199999,0.0
ARE,GHR_CCS,2040,0.7379394187872362,0.2288073577947725,0.08759437995674116,0.008165849999999999,0.30994499475372256,0.012621237750000012,0.090805598532,0.0
ARE,GHR_CCS,2050,0.7168403909513882,0.21366881062726523,0.08759437995674116,0.008165849999999999,0.30398451408538185,0.012621237750000012,0.090805598532,0.0
ARE,Pyrolysis,2020,0.8620056524602641,0.3079930792873337,0.3212294835057311,0.0,0.5327530896671994,0.0,0.0,0.29996999999999996
ARE,Pyrolysis,2030,0.7855123416407552,0.24616269754123452,0.32122948350573105,0.0,0.5180901605937898,0.0,0.0,0.29997
ARE,Pyrolysis,2040,0.7755219378215359,0.24594757977095452,0.32122948350573105,0.0,0.5083148745448505,0.0,0.0,0.29997
ARE,Pyrolysis,2050,0.7655317415065437,0.24573266950490152,0.32122948350573105,0.0,0.4985395884959112,0.0,0.0,0.29997
ARG,SMR_CCS,2020,1.7299775092625587,0.6474503960466157,0.1786250901225667,0.06359364,0.6702174121036316,0.08052989326467172,0.08956107772507302,0.0
ARG,SMR_CCS,2030,1.4989194343399772,0.5240760502576206,0.1445821917808219,0.008399160000000001,0.6517710613117902,0.0805298932646717,0.08956107772507302,0.0
ARG,SMR_CCS,2040,1.4668051070960897,0.5084645894152188,0.14037689257390049,0.00839916,0.6394734941172259,0.0805298932646717,0.08956107772507299,0.0
ARG,SMR_CCS,2050,1.434700551030843,0.49286289975145275,0.1361715933669791,0.00839916,0.6271759269226667,0.08052989326467172,0.089561077725073,0.0
ARG,ATR_CCS,2020,1.2161016547587993,0.33858041834093966,0.09343373828406633,0.06182715,0.5976400040113778,0.028271402931582406,0.09634894119083288,0.0
ARG,ATR_CCS,2030,1.0709989173851961,0.27527051011870374,0.08175101658255227,0.008165849999999999,0.581191196561525,0.028271402931582406,0.09634894119083287,0.0
ARG,ATR_CCS,2040,1.0430980112102608,0.25833547557700676,0.08175101658255225,0.008165849999999999,0.5702253249282866,0.028271402931582403,0.09634894119083287,0.0
ARG,ATR_CCS,2050,1.0152076984070517,0.2414110344070313,0.08175101658255227,0.008165849999999999,0.559259453295053,0.028271402931582403,0.09634894119083287,0.0
ARG,GHR_CCS,2020,1.1929412571920617,0.35127732553604074,0.09693414924297043,0.06182715,0.5720292634908104,0.013529942514103489,0.09734342640813647,0.0
ARG,GHR_CCS,2030,1.013043393843362,0.2949325028647062,0.08759437995674117,0.008165849999999999,0.5189238247399146,0.012621237750000012,0.09080559853199999,0.0
ARG,GHR_CCS,2040,0.9851078072602101,0.27678793184268674,0.08759437995674116,0.008165849999999999,0.5091328091787822,0.01262123775000001,0.09080559853199999,0.0
ARG,GHR_CCS,2050,0.9571835706501411,0.25865471079374586,0.08759437995674116,0.008165849999999999,0.49934179361765413,0.012621237750000012,0.09080559853199999,0.0
ARG,Pyrolysis,2020,1.2598475393118385,0.36345833365504737,0.32122948350573105,0.0,0.8751297221510601,0.0,0.0,0.29997
ARG,Pyrolysis,2030,1.1629938752369657,0.2906908087219447,0.32122948350573105,0.0,0.85104358300929,0.0,0.0,0.29997
ARG,Pyrolysis,2040,1.146855885580294,0.29061024515979067,0.3212294835057311,0.0,0.8349861569147722,0.0,0.0,0.29997000000000007
ARG,Pyrolysis,2050,1.1307179518737496,0.2905297375477573,0.3212294835057311,0.0,0.8189287308202613,0.0,0.0,0.29997000000000007
AUS,SMR_CCS,2020,1.800346795257969,0.5345404626238449,0.1786250901225667,0.06359363999999999,0.8534966315218128,0.08052989326467172,0.089561077725073,0.0
AUS,SMR_CCS,2030,1.720034659721054,0.43282725319436316,0.14458219178082193,0.008399160000000001,0.9641350837561243,0.08052989326467172,0.089561077725073,0.0
