Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,AUT_AT13,AUT,PEM,82281.30518748079,1512,8.775043155595542,1.7405063291139244,1.0,2.373417721518991,Hybrid,2040
1.0,AUT_AT13,AUT,Alkaline,65367.06643637338,1509,8.042749655400144,2.7027027027027026,1.0,,Onshore,2040
1.0,AUT_AT13,AUT,PEM,74193.93725086794,1510,11.406934925776708,3.57142857142857,1.0,,Onshore,2040
1.0,AUT_AT13,AUT,Alkaline,50005.850585058506,1507,5.260582135616445,,1.0,2.272727272727274,PV,2040
1.0,AUT_AT13,AUT,PEM,54118.29151665167,1508,9.369393310764412,,1.0,3.125000000000001,PV,2040
1.0,AUT_AT21,AUT,Alkaline,47179.21167116711,1517,7.148508619608671,,1.0,2.083333333333333,Hybrid,2020
1.0,AUT_AT21,AUT,PEM,61325.48787566407,1518,12.996756933505246,0.7263922518159814,1.0,2.6634382566585897,Hybrid,2020
1.0,AUT_AT21,AUT,Alkaline,43420.28433612593,1515,13.251622419823798,2.5641025641025643,1.0,,Onshore,2020
1.0,AUT_AT21,AUT,PEM,56685.41854185419,1516,19.4180544902919,4.000000000000001,1.0,,Onshore,2020
1.0,AUT_AT21,AUT,Alkaline,47179.21167116711,1513,7.148508619608671,,1.0,2.083333333333333,PV,2020
1.0,AUT_AT21,AUT,PEM,53666.212209456244,1514,13.060391975803032,,1.0,2.941176470588236,PV,2020
1.0,AUT_AT21,AUT,Alkaline,49867.90719888315,1523,5.594517130297929,,1.0,2.0408163265306123,Hybrid,2030
1.0,AUT_AT21,AUT,PEM,54158.54085408539,1524,10.225335829044615,,1.0,2.777777777777775,Hybrid,2030
1.0,AUT_AT21,AUT,Alkaline,44727.07514653906,1521,11.121113886240943,2.439024390243903,1.0,,Onshore,2030
1.0,AUT_AT21,AUT,PEM,55779.44461112778,1522,16.332192846621137,3.7037037037037037,1.0,,Onshore,2030
1.0,AUT_AT21,AUT,Alkaline,49867.907198883164,1519,5.594517130297927,,1.0,2.0408163265306127,PV,2030
1.0,AUT_AT21,AUT,PEM,54158.54085408541,1520,10.225335829044617,,1.0,2.7777777777777772,PV,2030
1.0,AUT_AT21,AUT,Alkaline,51683.16831683168,1529,4.966860627370948,,1.0,2.1739130434782603,Hybrid,2040
1.0,AUT_AT21,AUT,PEM,55383.531000158815,1530,8.941826764264253,,1.0,2.9411764705882346,Hybrid,2040
1.0,AUT_AT21,AUT,Alkaline,44727.07514653906,1527,10.862251473079828,2.439024390243903,1.0,,Onshore,2040
1.0,AUT_AT21,AUT,PEM,54506.79889417514,1528,15.526894099794204,3.5714285714285716,1.0,,Onshore,2040
1.0,AUT_AT21,AUT,Alkaline,51683.168316831696,1525,4.966860627370947,,1.0,2.1739130434782608,PV,2040
1.0,AUT_AT21,AUT,PEM,55383.53100015884,1526,8.941826764264249,,1.0,2.9411764705882333,PV,2040
1.0,AUT_AT22,AUT,Alkaline,47379.427073142106,1535,7.293711059992251,,1.0,2.1739130434782603,Hybrid,2020
1.0,AUT_AT22,AUT,PEM,68493.41218200336,1536,12.92484559039963,1.3086150490730626,1.0,2.5627044711014135,Hybrid,2020
1.0,AUT_AT22,AUT,Alkaline,50957.75032048658,1533,12.823208571666921,3.0303030303030303,1.0,,Onshore,2020
1.0,AUT_AT22,AUT,PEM,63515.8624558108,1534,18.246709011549274,4.3478260869565215,1.0,,Onshore,2020
1.0,AUT_AT22,AUT,Alkaline,47379.427073142106,1531,7.293711059992251,,1.0,2.1739130434782608,PV,2020
1.0,AUT_AT22,AUT,PEM,53647.97843420706,1532,13.21725990113145,,1.0,3.0303030303030303,PV,2020
1.0,AUT_AT22,AUT,Alkaline,50050.99871689296,1541,5.711900581221842,,1.0,2.1276595744680855,Hybrid,2030
1.0,AUT_AT22,AUT,PEM,54075.94187990227,1542,10.357555885184281,,1.0,2.8571428571428568,Hybrid,2030
1.0,AUT_AT22,AUT,Alkaline,52057.425742574254,1539,10.808379891547613,2.8571428571428563,1.0,,Onshore,2030
1.0,AUT_AT22,AUT,PEM,62103.456345634564,1540,15.413542036936642,4.0,1.0,,Onshore,2030
1.0,AUT_AT22,AUT,Alkaline,50050.99871689296,1537,5.711900581221841,,1.0,2.1276595744680846,PV,2030
1.0,AUT_AT22,AUT,PEM,54075.94187990228,1538,10.357555885184277,,1.0,2.8571428571428568,PV,2030
1.0,AUT_AT22,AUT,Alkaline,51967.37173717371,1547,5.062023997531276,,1.0,2.2727272727272725,Hybrid,2040
1.0,AUT_AT22,AUT,PEM,55364.71374410165,1548,9.048428862802636,,1.0,3.030303030303026,Hybrid,2040
1.0,AUT_AT22,AUT,Alkaline,52057.42574257426,1545,10.547840145271373,2.857142857142856,1.0,,Onshore,2040
1.0,AUT_AT22,AUT,PEM,62103.456345634564,1546,14.671645744555102,4.0,1.0,,Onshore,2040
1.0,AUT_AT22,AUT,Alkaline,51967.371737173715,1543,5.062023997531275,,1.0,2.2727272727272725,PV,2040
1.0,AUT_AT22,AUT,PEM,55364.713744101675,1544,9.048428862802636,,1.0,3.030303030303029,PV,2040
1.0,AUT_AT31,AUT,Alkaline,62532.929386233285,1553,7.672639791838687,0.8746355685131288,1.0,2.0408163265306096,Hybrid,2020
1.0,AUT_AT31,AUT,PEM,87334.27918150667,1554,11.617290102599993,2.272727272727272,1.0,2.212918660287082,Hybrid,2020
1.0,AUT_AT31,AUT,Alkaline,58227.9359514899,1551,10.075737897366631,2.6315789473684212,1.0,,Onshore,2020
1.0,AUT_AT31,AUT,PEM,75240.02400240026,1552,14.629518652884135,3.9999999999999996,1.0,,Onshore,2020
1.0,AUT_AT31,AUT,Alkaline,45162.256225622565,1549,7.749921174333256,,1.0,2.2222222222222228,PV,2020
1.0,AUT_AT31,AUT,PEM,51570.586746174624,1550,13.918153470816979,,1.0,3.125,PV,2020
1.0,AUT_AT31,AUT,Alkaline,47699.81998199819,1559,6.070478864356357,,1.0,2.173913043478258,Hybrid,2030
1.0,AUT_AT31,AUT,PEM,85087.5967017924,1560,9.554332546265922,1.929260450160774,1.0,2.250803858520901,Hybrid,2030
1.0,AUT_AT31,AUT,Alkaline,59896.26462646266,1557,8.46349772394921,2.500000000000001,1.0,,Onshore,2030
1.0,AUT_AT31,AUT,PEM,74016.85168516851,1558,12.308071062831921,3.7037037037037037,1.0,,Onshore,2030
1.0,AUT_AT31,AUT,Alkaline,47699.819981998204,1555,6.07047886435636,,1.0,2.1739130434782608,PV,2030
1.0,AUT_AT31,AUT,PEM,51918.96542595435,1556,10.9164423757479,,1.0,2.9411764705882346,PV,2030
1.0,AUT_AT31,AUT,Alkaline,48937.81196301447,1565,5.3753888640576495,,1.0,2.27272727272727,Hybrid,2040
1.0,AUT_AT31,AUT,PEM,82928.54259350317,1566,8.703883150265632,1.694915254237287,1.0,2.4771838331160327,Hybrid,2040
1.0,AUT_AT31,AUT,Alkaline,61071.63793302407,1563,8.265083314116362,2.564102564102564,1.0,,Onshore,2040
1.0,AUT_AT31,AUT,PEM,74016.85168516854,1564,11.704588232961223,3.7037037037037037,1.0,,Onshore,2040
1.0,AUT_AT31,AUT,Alkaline,48937.81196301449,1561,5.375388864057651,,1.0,2.2727272727272725,PV,2040
1.0,AUT_AT31,AUT,PEM,53220.84552205221,1562,9.527383407050877,,1.0,3.124999999999999,PV,2040
1.0,AUT_AT32,AUT,Alkaline,46003.75689742887,1571,7.511813305329014,,1.0,2.173913043478261,Hybrid,2020
1.0,AUT_AT32,AUT,PEM,59387.18871887193,1572,13.50032937568419,0.6224066390041506,1.0,2.904564315352695,Hybrid,2020
1.0,AUT_AT32,AUT,Alkaline,39693.87465062296,1569,14.780233011280046,2.6315789473684204,1.0,,Onshore,2020
1.0,AUT_AT32,AUT,PEM,52828.720372037205,1570,21.363800989587066,4.166666666666667,1.0,,Onshore,2020
1.0,AUT_AT32,AUT,Alkaline,46003.75689742888,1567,7.511813305329011,,1.0,2.1739130434782608,PV,2020
1.0,AUT_AT32,AUT,PEM,52993.97127212721,1568,13.544327732173477,,1.0,3.1250000000000004,PV,2020
1.0,AUT_AT32,AUT,Alkaline,48597.449106612796,1577,5.882740001335443,,1.0,2.1276595744680855,Hybrid,2030
1.0,AUT_AT32,AUT,PEM,53358.40789961346,1578,10.621956521510791,,1.0,2.9411764705882306,Hybrid,2030
1.0,AUT_AT32,AUT,Alkaline,40838.456345634564,1575,12.413004682199652,2.5,1.0,,Onshore,2030
1.0,AUT_AT32,AUT,PEM,51868.39645503013,1576,17.9921936148083,3.8461538461538463,1.0,,Onshore,2030
1.0,AUT_AT32,AUT,Alkaline,48597.449106612796,1573,5.882740001335442,,1.0,2.127659574468085,PV,2030
1.0,AUT_AT32,AUT,PEM,53358.407899613485,1574,10.621956521510793,,1.0,2.9411764705882355,PV,2030
1.0,AUT_AT32,AUT,Alkaline,50466.47164716472,1583,5.212568338778242,,1.0,2.2727272727272725,Hybrid,2040
1.0,AUT_AT32,AUT,PEM,54689.778352835274,1584,9.271488598098145,,1.0,3.124999999999996,Hybrid,2040
1.0,AUT_AT32,AUT,Alkaline,40838.45634563456,1581,12.122406349921285,2.500000000000001,1.0,,Onshore,2040
1.0,AUT_AT32,AUT,PEM,50620.36203620362,1582,17.11428616329393,3.7037037037037015,1.0,,Onshore,2040
1.0,AUT_AT32,AUT,Alkaline,50466.47164716472,1579,5.212568338778242,,1.0,2.272727272727272,PV,2040
1.0,AUT_AT32,AUT,PEM,54689.77835283529,1580,9.271488598098147,,1.0,3.1250000000000004,PV,2040
1.0,AUT_AT33,AUT,Alkaline,47376.419556849316,1589,7.204597374423638,,1.0,2.1276595744680855,Hybrid,2020
1.0,AUT_AT33,AUT,PEM,58649.25934606596,1590,13.048999575103688,0.43763676148796954,1.0,2.844638949671771,Hybrid,2020
1.0,AUT_AT33,AUT,Alkaline,44675.324675324686,1587,13.977511898853725,2.8571428571428568,1.0,,Onshore,2020
1.0,AUT_AT33,AUT,PEM,57865.84093191929,1588,20.028287148443418,4.347826086956522,1.0,,Onshore,2020
1.0,AUT_AT33,AUT,Alkaline,47376.4195568493,1585,7.20459737442364,,1.0,2.1276595744680855,PV,2020
1.0,AUT_AT33,AUT,PEM,53629.25998482201,1586,13.069390823435649,,1.0,2.941176470588236,PV,2020
1.0,AUT_AT33,AUT,Alkaline,50061.918691869185,1595,5.640309929571945,,1.0,2.0833333333333326,Hybrid,2030
1.0,AUT_AT33,AUT,PEM,54700.180018001774,1596,10.239357678145572,,1.0,2.857142857142851,Hybrid,2030
1.0,AUT_AT33,AUT,Alkaline,45784.02705135379,1593,11.762996917685115,2.7027027027027035,1.0,,Onshore,2030
1.0,AUT_AT33,AUT,PEM,56657.82178217821,1594,16.89497978345949,4.0,1.0,,Onshore,2030
1.0,AUT_AT33,AUT,Alkaline,50061.9186918692,1591,5.640309929571943,,1.0,2.083333333333333,PV,2030
1.0,AUT_AT33,AUT,PEM,54700.18001800181,1592,10.239357678145574,,1.0,2.8571428571428577,PV,2030
1.0,AUT_AT33,AUT,Alkaline,51937.81378137813,1601,5.002346984352668,,1.0,2.222222222222222,Hybrid,2040
1.0,AUT_AT33,AUT,PEM,55990.42631535879,1602,8.947311315667953,,1.0,3.0303030303030276,Hybrid,2040
1.0,AUT_AT33,AUT,Alkaline,45784.027051353776,1599,11.48277128275215,2.7027027027027013,1.0,,Onshore,2040
1.0,AUT_AT33,AUT,PEM,55235.63317870249,1600,16.07446793280142,3.8461538461538463,1.0,,Onshore,2040
1.0,AUT_AT33,AUT,Alkaline,51937.813781378136,1597,5.002346984352668,,1.0,2.2222222222222223,PV,2040
1.0,AUT_AT33,AUT,PEM,55990.42631535881,1598,8.947311315667953,,1.0,3.0303030303030307,PV,2040
1.0,AUT_AT34,AUT,Alkaline,46879.445391347654,1607,7.280972475770059,,1.0,2.127659574468084,Hybrid,2020
1.0,AUT_AT34,AUT,PEM,53100.8983251266,1608,13.199430713618082,,1.0,2.941176470588233,Hybrid,2020
1.0,AUT_AT34,AUT,Alkaline,33904.5904590459,1605,18.025829675762456,2.7777777777777786,1.0,,Onshore,2020
1.0,AUT_AT34,AUT,PEM,47982.47681911049,1606,25.59838660838093,4.761904761904761,1.0,,Onshore,2020
1.0,AUT_AT34,AUT,Alkaline,46879.44539134764,1603,7.280972475770062,,1.0,2.127659574468085,PV,2020
1.0,AUT_AT34,AUT,PEM,53100.89832512663,1604,13.199430713618078,,1.0,2.9411764705882346,PV,2020
1.0,AUT_AT34,AUT,Alkaline,50150.10437213935,1613,5.7006130601015945,,1.0,2.127659574468085,Hybrid,2030
1.0,AUT_AT34,AUT,PEM,54164.40786935836,1614,10.340639342583147,,1.0,2.8571428571428545,Hybrid,2030
1.0,AUT_AT34,AUT,Alkaline,34111.1726557271,1611,15.154198133708903,2.564102564102563,1.0,,Onshore,2030
1.0,AUT_AT34,AUT,PEM,46649.101866708406,1612,21.683184871196904,4.3478260869565215,1.0,,Onshore,2030
1.0,AUT_AT34,AUT,Alkaline,50150.10437213935,1609,5.700613060101595,,1.0,2.1276595744680855,PV,2030
1.0,AUT_AT34,AUT,PEM,54164.40786935838,1610,10.340639342583149,,1.0,2.857142857142858,PV,2030
1.0,AUT_AT34,AUT,Alkaline,51399.55995599559,1619,5.054730312521149,,1.0,2.222222222222221,Hybrid,2040
1.0,AUT_AT34,AUT,PEM,55437.430106647014,1620,9.036560402018527,,1.0,3.030303030303029,Hybrid,2040
1.0,AUT_AT34,AUT,Alkaline,34801.81439196551,1617,14.797045131270767,2.631578947368421,1.0,,Onshore,2040
1.0,AUT_AT34,AUT,PEM,45331.90819081908,1618,20.655839325236077,4.166666666666665,1.0,,Onshore,2040
1.0,AUT_AT34,AUT,Alkaline,51399.5599559956,1615,5.05473031252115,,1.0,2.2222222222222228,PV,2040
1.0,AUT_AT34,AUT,PEM,55437.43010664703,1616,9.036560402018528,,1.0,3.030303030303032,PV,2040
