Zone_export,Zone_import,Transport_international_mode,Unit,Transport_international_distance
VNM_EXP01,BGR_IMP01,Sea,[1000km],11.922
VNM_EXP01,DNK_IMP01,Sea,[1000km],18.221
VNM_EXP01,EST_IMP01,Sea,[1000km],19.08
VNM_EXP01,FIN_IMP01,Sea,[1000km],19.122
VNM_EXP01,DEU_IMP01,Sea,[1000km],17.59
VNM_EXP01,IRL_IMP01,Sea,[1000km],16.726
VNM_EXP01,LVA_IMP01,Sea,[1000km],18.876
VNM_EXP01,MLT_IMP01,Sea,[1000km],11.758
VNM_EXP01,ROU_IMP01,Sea,[1000km],12.237
VNM_EXP01,SVN_IMP01,Sea,[1000km],12.231
VNM_EXP01,SWE_IMP01,Sea,[1000km],18.009
VNM_EXP01,NOR_IMP01,Sea,[1000km],18.01
VNM_EXP01,BEL_IMP01,Sea,[1000km],17.136
VNM_EXP01,CYP_IMP01,Sea,[1000km],10.935
VNM_EXP01,ESP_IMP01,Sea,[1000km],13.891
VNM_EXP01,FRA_IMP01,Sea,[1000km],12.35
VNM_EXP01,GBR_IMP01,Sea,[1000km],16.664
VNM_EXP01,GRC_IMP01,Sea,[1000km],11.168
VNM_EXP01,HRV_IMP01,Sea,[1000km],12.158
VNM_EXP01,ITA_IMP01,Sea,[1000km],12.028
VNM_EXP01,LTU_IMP01,Sea,[1000km],18.815
VNM_EXP01,NLD_IMP01,Sea,[1000km],17.067
VNM_EXP01,POL_IMP01,Sea,[1000km],18.592
VNM_EXP01,PRT_IMP01,Sea,[1000km],14.433
VEN_EXP01,BGR_IMP01,Sea,[1000km],9.959
VEN_EXP01,DNK_IMP01,Sea,[1000km],7.632
VEN_EXP01,EST_IMP01,Sea,[1000km],8.244
VEN_EXP01,FIN_IMP01,Sea,[1000km],8.267
VEN_EXP01,DEU_IMP01,Sea,[1000km],6.554
VEN_EXP01,IRL_IMP01,Sea,[1000km],6.172
VEN_EXP01,LVA_IMP01,Sea,[1000km],8.031
VEN_EXP01,MLT_IMP01,Sea,[1000km],8.359
VEN_EXP01,ROU_IMP01,Sea,[1000km],10.262
VEN_EXP01,SVN_IMP01,Sea,[1000km],9.82
VEN_EXP01,SWE_IMP01,Sea,[1000km],7.135
VEN_EXP01,NOR_IMP01,Sea,[1000km],7.239
VEN_EXP01,BEL_IMP01,Sea,[1000km],6.321
VEN_EXP01,CYP_IMP01,Sea,[1000km],10.875
VEN_EXP01,ESP_IMP01,Sea,[1000km],6.512
VEN_EXP01,FRA_IMP01,Sea,[1000km],7.583
VEN_EXP01,GBR_IMP01,Sea,[1000km],6.082
VEN_EXP01,GRC_IMP01,Sea,[1000km],9.315
VEN_EXP01,HRV_IMP01,Sea,[1000km],9.74
VEN_EXP01,ITA_IMP01,Sea,[1000km],7.879
VEN_EXP01,LTU_IMP01,Sea,[1000km],8.217
VEN_EXP01,NLD_IMP01,Sea,[1000km],6.255
VEN_EXP01,POL_IMP01,Sea,[1000km],8.113
VEN_EXP01,PRT_IMP01,Sea,[1000km],5.533
VUT_EXP01,BGR_IMP01,Sea,[1000km],17.898
VUT_EXP01,DNK_IMP01,Sea,[1000km],20.771
VUT_EXP01,EST_IMP01,Sea,[1000km],21.383
VUT_EXP01,FIN_IMP01,Sea,[1000km],21.405
VUT_EXP01,DEU_IMP01,Sea,[1000km],19.695
VUT_EXP01,IRL_IMP01,Sea,[1000km],19.313
VUT_EXP01,LVA_IMP01,Sea,[1000km],21.17
VUT_EXP01,MLT_IMP01,Sea,[1000km],17.733
VUT_EXP01,ROU_IMP01,Sea,[1000km],18.21
VUT_EXP01,SVN_IMP01,Sea,[1000km],18.207
VUT_EXP01,SWE_IMP01,Sea,[1000km],20.275
VUT_EXP01,NOR_IMP01,Sea,[1000km],20.379
VUT_EXP01,BEL_IMP01,Sea,[1000km],19.462
VUT_EXP01,CYP_IMP01,Sea,[1000km],16.893
VUT_EXP01,ESP_IMP01,Sea,[1000km],19.753
VUT_EXP01,FRA_IMP01,Sea,[1000km],18.325
VUT_EXP01,GBR_IMP01,Sea,[1000km],19.223
VUT_EXP01,GRC_IMP01,Sea,[1000km],17.144
VUT_EXP01,HRV_IMP01,Sea,[1000km],18.133
VUT_EXP01,ITA_IMP01,Sea,[1000km],18.003
VUT_EXP01,LTU_IMP01,Sea,[1000km],21.356
VUT_EXP01,NLD_IMP01,Sea,[1000km],19.396
VUT_EXP01,POL_IMP01,Sea,[1000km],21.252
VUT_EXP01,PRT_IMP01,Sea,[1000km],19.253
URY_EXP01,BGR_IMP01,Sea,[1000km],14.153
URY_EXP01,DNK_IMP01,Sea,[1000km],13.349
URY_EXP01,EST_IMP01,Sea,[1000km],13.965
URY_EXP01,FIN_IMP01,Sea,[1000km],13.981
URY_EXP01,DEU_IMP01,Sea,[1000km],12.547
URY_EXP01,IRL_IMP01,Sea,[1000km],12.105
URY_EXP01,LVA_IMP01,Sea,[1000km],13.809
