Country,Energy_type,Unit,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BEL,Onshore,[MW],2219.089116,2351.197138,2510.630156,2663.181491,2815.732826,2968.284161,3120.835496,3273.386831,3425.938165,3578.4895,3731.040836,3883.592171,4036.143506,4188.694841,4385.655413,4582.615986,4779.576558,4976.537131,5173.497703,5370.458276,5567.418848,5764.379421,5961.339993,6158.300566,6357.887279,6557.473992,6757.060706,6956.647419,7156.234133,7355.820846,7555.40756,7754.994273,7954.580986,8154.1677
BEL,PV,[MW],3736.230454,4006.670687,4531,5020.611258,5510.222512,5999.833769,6489.445027,6979.056284,7468.667539,7958.278796,8447.890054,8937.501311,9427.112565,9916.723823,10712.85517,11508.98652,12305.11787,13101.24922,13897.38057,14693.51192,15489.64327,16285.77462,17081.90597,17878.03731,18827.80805,19777.57878,20727.34951,21677.12024,22626.89098,23576.66171,24526.43244,25476.20317,26425.97391,27375.74464
BGR,Onshore,[MW],697.4565163,738.9778774,789.0874455,837.0341107,884.9807758,932.9274409,980.8741061,1028.820771,1076.767436,1124.714101,1172.660766,1220.607431,1268.554096,1316.500762,1378.405186,1440.309611,1502.214035,1564.11846,1626.022884,1687.927309,1749.831733,1811.736158,1873.640582,1935.545007,1998.274824,2061.004641,2123.734457,2186.464274,2249.194091,2311.923908,2374.653725,2437.383542,2500.113359,2562.843175
BGR,PV,[MW],878.1914443,941.7577315,1065,1180.081878,1295.163755,1410.245633,1525.327511,1640.409389,1755.491267,1870.573145,1985.655023,2100.736901,2215.818778,2330.900656,2518.0293,2705.157944,2892.286588,3079.415233,3266.543877,3453.672521,3640.801165,3827.929809,4015.058454,4202.187098,4425.428287,4648.669477,4871.910667,5095.151856,5318.393046,5541.634235,5764.875425,5988.116614,6211.357804,6434.598994
CYP,Onshore,[MW],157.6511153,167.0364873,178.3631136,189.2008433,200.0385731,210.8763028,221.7140326,232.5517623,243.389492,254.2272217,265.0649514,275.9026812,286.7404109,297.5781407,311.5708432,325.5635458,339.5562483,353.5489508,367.5416534,381.5343559,395.5270585,409.519761,423.5124635,437.5051661,451.684438,465.8637099,480.0429818,494.2222537,508.4015256,522.5807975,536.7600694,550.9393413,565.1186132,579.2978852
CYP,PV,[MW],106.3724848,114.0720633,129,142.9394951,156.8789901,170.8184852,184.7579802,198.6974753,212.6369703,226.5764654,240.5159605,254.4554556,268.3949505,282.3344456,305.0007321,327.6670186,350.3333051,372.9995916,395.665878,418.3321645,440.998451,463.6647375,486.331024,508.9973104,536.0377926,563.0782747,590.1187568,617.1592389,644.199721,671.2402031,698.2806853,725.3211674,752.3616495,779.4021316
CZE,Onshore,[MW],338.2514436,358.3884126,382.6904779,405.9435816,429.1966853,452.449789,475.7028926,498.9559963,522.2090998,545.4622035,568.7153072,591.9684109,615.2215146,638.4746183,668.4969358,698.5192533,728.5415707,758.5638882,788.5862057,818.6085231,848.6308406,878.6531581,908.6754756,938.697793,969.1204081,999.5430231,1029.965638,1060.388253,1090.810868,1121.233483,1151.656098,1182.078713,1212.501328,1242.923943
CZE,PV,[MW],1706.907314,1830.458689,2070,2293.68027,2517.360538,2741.040808,2964.721078,3188.401348,3412.081617,3635.761887,3859.442157,4083.122426,4306.802695,4530.482965,4894.197794,5257.912624,5621.627454,5985.342283,6349.057113,6712.771942,7076.486772,7440.201601,7803.916431,8167.631261,8601.536671,9035.442082,9469.347493,9903.252903,10337.15831,10771.06372,11204.96914,11638.87455,12072.77996,12506.68537
DEU,Onshore,[MW],53215.23374,56383.27201,60206.58188,63864.86441,67523.14695,71181.42948,74839.71202,78497.99455,82156.27705,85814.55959,89472.84212,93131.12466,96789.40719,100447.6897,105170.9353,109894.1809,114617.4265,119340.6721,124063.9177,128787.1633,133510.4089,138233.6545,142956.9001,147680.1457,152466.3679,157252.5901,162038.8123,166825.0345,171611.2567,176397.479,181183.7012,185969.9234,190756.1456,195542.3678
DEU,PV,[MW],40418.24585,43343.84692,49016,54312.5759,59609.15176,64905.72766,70202.30356,75498.87946,80795.45532,86092.03122,91388.60712,96685.18302,101981.7589,107278.3348,115890.8208,124503.3068,133115.7929,141728.2789,150340.7649,158953.251,167565.737,176178.223,184790.7091,193403.1951,203677.7398,213952.2846,224226.8293,234501.3741,244775.9188,255050.4635,265325.0083,275599.553,285874.0978,296148.6425
DNK,Onshore,[MW],4406.248893,4668.564101,4985.136137,5288.043824,5590.951511,5893.859198,6196.766885,6499.674572,6802.582256,7105.489943,7408.39763,7711.305317,8014.213004,8317.120691,8708.207871,9099.295051,9490.382231,9881.469411,10272.55659,10663.64377,11054.73095,11445.81813,11836.90531,12227.99249,12624.29417,13020.59584,13416.89752,13813.19919,14209.50087,14605.80254,15002.10422,15398.40589,15794.70757,16191.00925
