Node_import,Zone_demand,Unit,Transport_eu_mode,Transport_eu_distance
POL_PIPE0003,SVN_DEM01,[1000km],Pip,0.774780298
POL_PIPE0003,NOR_DEM01,[1000km],Pip,1.725483449
POL_PIPE0003,SWE_DEM01,[1000km],Pip,1.505197982
POL_PIPE0003,BGR_DEM01,[1000km],Pip,0.792810849
BGR_PORT0001,CYP_DEM01,[1000km],Pip,0.966824403
BGR_PORT0001,GRC_DEM01,[1000km],Pip,0.538825567
BGR_PORT0001,FRA_DEM01,[1000km],Pip,2.021923843
BGR_PORT0001,CHE_DEM01,[1000km],Pip,1.593811853
BGR_PORT0001,PRT_DEM01,[1000km],Pip,3.02320154
BGR_PORT0001,IRL_DEM01,[1000km],Pip,2.879834644
BGR_PORT0001,GBR_DEM01,[1000km],Pip,2.56833306
BGR_PORT0001,MLT_DEM01,[1000km],Pip,1.341326691
BGR_PORT0001,AUT_DEM01,[1000km],Pip,1.190186066
BGR_PORT0001,HRV_DEM01,[1000km],Pip,0.933001047
BGR_PORT0001,CZE_DEM01,[1000km],Pip,1.232571948
BGR_PORT0001,DNK_DEM01,[1000km],Pip,1.950677056
BGR_PORT0001,BEL_DEM01,[1000km],Pip,1.957092699
BGR_PORT0001,DEU_DEM01,[1000km],Pip,1.609929458
BGR_PORT0001,LUX_DEM01,[1000km],Pip,1.830071071
BGR_PORT0001,NLD_DEM01,[1000km],Pip,1.961999634
SVK_PIPE0001,SVK_DEM01,[1000km],Pip,0.194622226
SVK_PIPE0001,SVN_DEM01,[1000km],Pip,0.613537101
SVK_PIPE0001,NOR_DEM01,[1000km],Pip,1.834450808
SVK_PIPE0001,SWE_DEM01,[1000km],Pip,1.61954739
SVK_PIPE0001,DNK_DEM01,[1000km],Pip,1.16304875
SVK_PIPE0001,HUN_DEM01,[1000km],Pip,0.254527084
SVK_PIPE0001,ITA_DEM01,[1000km],Pip,1.009724849
SVK_PIPE0001,POL_DEM01,[1000km],Pip,0.442012514
SVK_PIPE0001,LTU_DEM01,[1000km],Pip,0.764545159
SVK_PIPE0001,ROU_DEM01,[1000km],Pip,0.370378209
SVK_PIPE0001,ESP_DEM01,[1000km],Pip,2.217294616
SVK_PIPE0001,ESP_DEM01,[1000km],Pip,3.929019022
SVK_PIPE0001,BGR_DEM01,[1000km],Pip,0.687570612
SVK_PIPE0001,EST_DEM01,[1000km],Pip,1.148512329
SVK_PIPE0001,FIN_DEM01,[1000km],Pip,1.793127189
SVK_PIPE0001,LVA_DEM01,[1000km],Pip,0.943317431
SVK_PIPE0001,MLT_DEM01,[1000km],Pip,1.540796177
SVK_PIPE0001,CYP_DEM01,[1000km],Pip,1.756934618
SVK_PIPE0001,GRC_DEM01,[1000km],Pip,1.055832105
SVK_PIPE0001,FRA_DEM01,[1000km],Pip,1.485092674
ROU_PIPE0002,ESP_DEM01,[1000km],Pip,3.971204766
SVK_PIPE0001,PRT_DEM01,[1000km],Pip,2.629265791
SVK_PIPE0001,IRL_DEM01,[1000km],Pip,2.174699225
SVK_PIPE0001,GBR_DEM01,[1000km],Pip,1.839176301
SVK_PIPE0001,NLD_DEM01,[1000km],Pip,1.240492653
SVK_PIPE0001,AUT_DEM01,[1000km],Pip,0.603973281
SVK_PIPE0001,HRV_DEM01,[1000km],Pip,0.58403787
SVK_PIPE0001,CZE_DEM01,[1000km],Pip,0.512085404
SVK_PIPE0001,CHE_DEM01,[1000km],Pip,1.05921497
SVK_PIPE0001,BEL_DEM01,[1000km],Pip,1.280156523
SVK_PIPE0001,DEU_DEM01,[1000km],Pip,0.889210664
SVK_PIPE0001,LUX_DEM01,[1000km],Pip,1.174970485
ROU_PIPE0002,POL_DEM01,[1000km],Pip,0.551826251
ROU_PIPE0002,SVK_DEM01,[1000km],Pip,0.289456715
ROU_PIPE0002,SVN_DEM01,[1000km],Pip,0.658725557
ROU_PIPE0002,NOR_DEM01,[1000km],Pip,1.934121831
ROU_PIPE0002,CZE_DEM01,[1000km],Pip,0.612883078
ROU_PIPE0002,DNK_DEM01,[1000km],Pip,1.276810075
ROU_PIPE0002,HUN_DEM01,[1000km],Pip,0.289033731
ROU_PIPE0002,ITA_DEM01,[1000km],Pip,1.02864695
