Year,Country,Country_demand,Node_border,Node_import,Node_export,Node_production,Source,Source_vres,Energy_type,Technology,Transport_national,Transport_international,Transport_eu,Transport_national_mode,Transport_international_mode,Transport_eu_mode,Transport_conversion
,VGB,,DEU_BORD0021,ITA_LH2R0002,IDN_LH2L0004,,,,,,,,,,,,
,VNM,,DEU_BORD0022,ITA_LH2R0003,IDN_LH2L0005,,,,,,,,,,,,
,VEN,,DEU_BORD0023,LTU_LH2R0001,IDN_LH2L0006,,,,,,,,,,,,
,VUT,,DEU_BORD0024,NLD_LH2R0001,IDN_LH2L0007,,,,,,,,,,,,
,URY,,DNK_BORD0001,POL_LH2R0001,IDN_LH2L0008,,,,,,,,,,,,
,TON,,DNK_BORD0002,PRT_LH2R0001,IDN_LH2L0009,,,,,,,,,,,,
,TGO,,DNK_BORD0003,TUR_LH2R0001,IDN_LH2L0010,,,,,,,,,,,,
,TLS,,ESP_BORD0001,TUR_LH2R0002,LBY_LH2L0001,,,,,,,,,,,,
,THA,,ESP_BORD0002,TUR_LH2R0003,MYS_LH2L0001,,,,,,,,,,,,
,TZA,,ESP_BORD0003,TUR_LH2R0004,MYS_LH2L0002,,,,,,,,,,,,
,TWN,,ESP_BORD0004,TUR_LH2R0005,MYS_LH2L0003,,,,,,,,,,,,
,SYR,,ESP_BORD0005,,MYS_LH2L0004,,,,,,,,,,,,
,SUR,,ESP_BORD0006,,MYS_LH2L0005,,,,,,,,,,,,
,SDN,,ESP_BORD0007,,MYS_LH2L0006,,,,,,,,,,,,
,LKA,,ESP_BORD0008,,MYS_LH2L0007,,,,,,,,,,,,
,ZAF,,ESP_BORD0009,,NGA_LH2L0001,,,,,,,,,,,,
,SOM,,ESP_BORD0010,,NGA_LH2L0002,,,,,,,,,,,,
,SGP,,ESP_BORD0011,,NGA_LH2L0003,,,,,,,,,,,,
,SLE,,ESP_BORD0012,,NGA_LH2L0004,,,,,,,,,,,,
,SYC,,ESP_BORD0013,,NGA_LH2L0005,,,,,,,,,,,,
,SEN,,EST_BORD0001,,NGA_LH2L0006,,,,,,,,,,,,
,SAU,,EST_BORD0002,,OMN_LH2L0001,,,,,,,,,,,,
,WSM,,EST_BORD0003,,OMN_LH2L0002,,,,,,,,,,,,
,VCT,,EST_BORD0004,,PER_LH2L0001,,,,,,,,,,,,
,LCA,,FIN_BORD0001,,PNG_LH2L0001,,,,,,,,,,,,
,KNA,,FIN_BORD0002,,QAT_LH2L0001,,,,,,,,,,,,
,PRI,,FRA_BORD0001,,QAT_LH2L0002,,,,,,,,,,,,
,PHL,,FRA_BORD0002,,QAT_LH2L0003,,,,,,,,,,,,
,PRY,,FRA_BORD0003,,QAT_LH2L0004,,,,,,,,,,,,
,PAN,,FRA_BORD0004,,QAT_LH2L0005,,,,,,,,,,,,
,PLW,,FRA_BORD0005,,QAT_LH2L0006,,,,,,,,,,,,
,PAK,,FRA_BORD0006,,QAT_LH2L0007,,,,,,,,,,,,
,NIC,,FRA_BORD0007,,QAT_LH2L0008,,,,,,,,,,,,
,NZL,,FRA_BORD0008,,QAT_LH2L0009,,,,,,,,,,,,
,NCL,,FRA_BORD0009,,QAT_LH2L0010,,,,,,,,,,,,
,NRU,,FRA_BORD0010,,QAT_LH2L0011,,,,,,,,,,,,
,NAM,,GBR_BORD0001,,QAT_LH2L0012,,,,,,,,,,,,
,MMR,,GBR_BORD0002,,RUS_LH2L0001,,,,,,,,,,,,
,MOZ,,GBR_BORD0003,,RUS_LH2L0002,,,,,,,,,,,,
,MSR,,GBR_BORD0004,,RUS_LH2L0003,,,,,,,,,,,,
,MNE,,GBR_BORD0005,,RUS_LH2L0004,,,,,,,,,,,,
,MDA,,GBR_BORD0006,,TTO_LH2L0001,,,,,,,,,,,,
,MEX,,GRC_BORD0001,,TTO_LH2L0002,,,,,,,,,,,,
,MYT,,GRC_BORD0002,,TTO_LH2L0003,,,,,,,,,,,,
,MUS,,GRC_BORD0003,,TTO_LH2L0004,,,,,,,,,,,,
,MRT,,GRC_BORD0004,,USA_LH2L0001,,,,,,,,,,,,
