Zone_export,Zone_import
TGO_EXP01,ROU_IMP01
TGO_EXP01,SVN_IMP01
TGO_EXP01,SWE_IMP01
TGO_EXP01,NOR_IMP01
TGO_EXP01,BEL_IMP01
TGO_EXP01,CYP_IMP01
TGO_EXP01,ESP_IMP01
TGO_EXP01,FRA_IMP01
TGO_EXP01,GBR_IMP01
TGO_EXP01,GRC_IMP01
TGO_EXP01,HRV_IMP01
TGO_EXP01,ITA_IMP01
TGO_EXP01,LTU_IMP01
TGO_EXP01,NLD_IMP01
TGO_EXP01,POL_IMP01
TGO_EXP01,PRT_IMP01
TLS_EXP01,BGR_IMP01
TLS_EXP01,DNK_IMP01
TLS_EXP01,EST_IMP01
TLS_EXP01,FIN_IMP01
TLS_EXP01,DEU_IMP01
TLS_EXP01,IRL_IMP01
TLS_EXP01,LVA_IMP01
TLS_EXP01,MLT_IMP01
TLS_EXP01,ROU_IMP01
TLS_EXP01,SVN_IMP01
TLS_EXP01,SWE_IMP01
TLS_EXP01,NOR_IMP01
TLS_EXP01,BEL_IMP01
TLS_EXP01,CYP_IMP01
TLS_EXP01,ESP_IMP01
TLS_EXP01,FRA_IMP01
TLS_EXP01,GBR_IMP01
TLS_EXP01,GRC_IMP01
TLS_EXP01,HRV_IMP01
TLS_EXP01,ITA_IMP01
TLS_EXP01,LTU_IMP01
TLS_EXP01,NLD_IMP01
TLS_EXP01,POL_IMP01
TLS_EXP01,PRT_IMP01
THA_EXP01,BGR_IMP01
THA_EXP01,DNK_IMP01
THA_EXP01,EST_IMP01
THA_EXP01,FIN_IMP01
THA_EXP01,DEU_IMP01
THA_EXP01,IRL_IMP01
THA_EXP01,LVA_IMP01
THA_EXP01,MLT_IMP01
THA_EXP01,ROU_IMP01
THA_EXP01,SVN_IMP01
THA_EXP01,SWE_IMP01
THA_EXP01,NOR_IMP01
THA_EXP01,BEL_IMP01
THA_EXP01,CYP_IMP01
THA_EXP01,ESP_IMP01
THA_EXP01,FRA_IMP01
THA_EXP01,GBR_IMP01
THA_EXP01,GRC_IMP01
THA_EXP01,HRV_IMP01
THA_EXP01,ITA_IMP01
THA_EXP01,LTU_IMP01
THA_EXP01,NLD_IMP01
THA_EXP01,POL_IMP01
THA_EXP01,PRT_IMP01
TZA_EXP01,BGR_IMP01
TZA_EXP01,DNK_IMP01
TZA_EXP01,EST_IMP01
TZA_EXP01,FIN_IMP01
TZA_EXP01,DEU_IMP01
TZA_EXP01,IRL_IMP01
TZA_EXP01,LVA_IMP01
TZA_EXP01,MLT_IMP01
TZA_EXP01,ROU_IMP01
TZA_EXP01,SVN_IMP01
TZA_EXP01,SWE_IMP01
TZA_EXP01,NOR_IMP01
TZA_EXP01,BEL_IMP01
TZA_EXP01,CYP_IMP01
TZA_EXP01,ESP_IMP01
TZA_EXP01,FRA_IMP01
TZA_EXP01,GBR_IMP01
TZA_EXP01,GRC_IMP01
TZA_EXP01,HRV_IMP01
TZA_EXP01,ITA_IMP01
TZA_EXP01,LTU_IMP01
TZA_EXP01,NLD_IMP01
TZA_EXP01,POL_IMP01
TZA_EXP01,PRT_IMP01
TWN_EXP01,BGR_IMP01
TWN_EXP01,DNK_IMP01
TWN_EXP01,EST_IMP01
TWN_EXP01,FIN_IMP01
TWN_EXP01,DEU_IMP01
TWN_EXP01,IRL_IMP01
TWN_EXP01,LVA_IMP01
TWN_EXP01,MLT_IMP01
TWN_EXP01,ROU_IMP01
TWN_EXP01,SVN_IMP01
TWN_EXP01,SWE_IMP01
TWN_EXP01,NOR_IMP01
TWN_EXP01,BEL_IMP01
TWN_EXP01,CYP_IMP01
TWN_EXP01,ESP_IMP01
TWN_EXP01,FRA_IMP01
TWN_EXP01,GBR_IMP01
TWN_EXP01,GRC_IMP01
TWN_EXP01,HRV_IMP01
TWN_EXP01,ITA_IMP01
TWN_EXP01,LTU_IMP01
TWN_EXP01,NLD_IMP01
TWN_EXP01,POL_IMP01
TWN_EXP01,PRT_IMP01
SYR_EXP01,BGR_IMP01
SYR_EXP01,DNK_IMP01
SYR_EXP01,EST_IMP01
SYR_EXP01,FIN_IMP01
SYR_EXP01,DEU_IMP01
SYR_EXP01,IRL_IMP01
SYR_EXP01,LVA_IMP01
SYR_EXP01,MLT_IMP01
SYR_EXP01,ROU_IMP01
SYR_EXP01,SVN_IMP01
SYR_EXP01,SWE_IMP01
SYR_EXP01,NOR_IMP01
SYR_EXP01,BEL_IMP01
SYR_EXP01,CYP_IMP01
SYR_EXP01,ESP_IMP01
SYR_EXP01,FRA_IMP01
SYR_EXP01,GBR_IMP01
SYR_EXP01,GRC_IMP01
SYR_EXP01,HRV_IMP01
SYR_EXP01,ITA_IMP01
SYR_EXP01,LTU_IMP01
SYR_EXP01,NLD_IMP01
SYR_EXP01,POL_IMP01
SYR_EXP01,PRT_IMP01
SUR_EXP01,BGR_IMP01
SUR_EXP01,DNK_IMP01
SUR_EXP01,EST_IMP01
SUR_EXP01,FIN_IMP01
SUR_EXP01,DEU_IMP01
SUR_EXP01,IRL_IMP01
SUR_EXP01,LVA_IMP01
SUR_EXP01,MLT_IMP01
SUR_EXP01,ROU_IMP01
SUR_EXP01,SVN_IMP01
SUR_EXP01,SWE_IMP01
SUR_EXP01,NOR_IMP01
SUR_EXP01,BEL_IMP01
SUR_EXP01,CYP_IMP01
SUR_EXP01,ESP_IMP01
SUR_EXP01,FRA_IMP01
SUR_EXP01,GBR_IMP01
SUR_EXP01,GRC_IMP01
SUR_EXP01,HRV_IMP01
SUR_EXP01,ITA_IMP01
SUR_EXP01,LTU_IMP01
SUR_EXP01,NLD_IMP01
SUR_EXP01,POL_IMP01
SUR_EXP01,PRT_IMP01
SDN_EXP01,BGR_IMP01
SDN_EXP01,DNK_IMP01
SDN_EXP01,EST_IMP01
SDN_EXP01,FIN_IMP01
SDN_EXP01,DEU_IMP01
SDN_EXP01,IRL_IMP01
SDN_EXP01,LVA_IMP01
SDN_EXP01,MLT_IMP01
SDN_EXP01,ROU_IMP01
SDN_EXP01,SVN_IMP01
SDN_EXP01,SWE_IMP01
SDN_EXP01,NOR_IMP01
SDN_EXP01,BEL_IMP01
SDN_EXP01,CYP_IMP01
SDN_EXP01,ESP_IMP01
SDN_EXP01,FRA_IMP01
SDN_EXP01,GBR_IMP01
SDN_EXP01,GRC_IMP01
SDN_EXP01,HRV_IMP01
SDN_EXP01,ITA_IMP01
SDN_EXP01,LTU_IMP01
SDN_EXP01,NLD_IMP01
SDN_EXP01,POL_IMP01
SDN_EXP01,PRT_IMP01
LKA_EXP01,BGR_IMP01
LKA_EXP01,DNK_IMP01
LKA_EXP01,EST_IMP01
LKA_EXP01,FIN_IMP01
LKA_EXP01,DEU_IMP01
LKA_EXP01,IRL_IMP01
LKA_EXP01,LVA_IMP01
LKA_EXP01,MLT_IMP01
LKA_EXP01,ROU_IMP01
LKA_EXP01,SVN_IMP01
LKA_EXP01,SWE_IMP01
LKA_EXP01,NOR_IMP01
LKA_EXP01,BEL_IMP01
LKA_EXP01,CYP_IMP01
LKA_EXP01,ESP_IMP01
LKA_EXP01,FRA_IMP01
LKA_EXP01,GBR_IMP01
LKA_EXP01,GRC_IMP01
LKA_EXP01,HRV_IMP01
LKA_EXP01,ITA_IMP01
LKA_EXP01,LTU_IMP01
LKA_EXP01,NLD_IMP01
LKA_EXP01,POL_IMP01
LKA_EXP01,PRT_IMP01
ZAF_EXP01,BGR_IMP01
ZAF_EXP01,DNK_IMP01
ZAF_EXP01,EST_IMP01
ZAF_EXP01,FIN_IMP01
ZAF_EXP01,DEU_IMP01
ZAF_EXP01,IRL_IMP01
ZAF_EXP01,LVA_IMP01
ZAF_EXP01,MLT_IMP01
ZAF_EXP01,ROU_IMP01
ZAF_EXP01,SVN_IMP01
ZAF_EXP01,SWE_IMP01
ZAF_EXP01,NOR_IMP01
ZAF_EXP01,BEL_IMP01
ZAF_EXP01,CYP_IMP01
ZAF_EXP01,ESP_IMP01
ZAF_EXP01,FRA_IMP01
ZAF_EXP01,GBR_IMP01
ZAF_EXP01,GRC_IMP01
ZAF_EXP01,HRV_IMP01
ZAF_EXP01,ITA_IMP01
ZAF_EXP01,LTU_IMP01
ZAF_EXP01,NLD_IMP01
ZAF_EXP01,POL_IMP01
ZAF_EXP01,PRT_IMP01
SOM_EXP01,BGR_IMP01
SOM_EXP01,DNK_IMP01
SOM_EXP01,EST_IMP01
SOM_EXP01,FIN_IMP01
SOM_EXP01,DEU_IMP01
SOM_EXP01,IRL_IMP01
SOM_EXP01,LVA_IMP01
SOM_EXP01,MLT_IMP01
SOM_EXP01,ROU_IMP01
SOM_EXP01,SVN_IMP01
SOM_EXP01,SWE_IMP01
SOM_EXP01,NOR_IMP01
SOM_EXP01,BEL_IMP01
SOM_EXP01,CYP_IMP01
SOM_EXP01,ESP_IMP01
SOM_EXP01,FRA_IMP01
SOM_EXP01,GBR_IMP01
SOM_EXP01,GRC_IMP01
SOM_EXP01,HRV_IMP01
SOM_EXP01,ITA_IMP01
SOM_EXP01,LTU_IMP01
SOM_EXP01,NLD_IMP01
SOM_EXP01,POL_IMP01
SOM_EXP01,PRT_IMP01
SGP_EXP01,BGR_IMP01
SGP_EXP01,DNK_IMP01
SGP_EXP01,EST_IMP01
SGP_EXP01,FIN_IMP01
SGP_EXP01,DEU_IMP01
SGP_EXP01,IRL_IMP01
SGP_EXP01,LVA_IMP01
SGP_EXP01,MLT_IMP01
SGP_EXP01,ROU_IMP01
SGP_EXP01,SVN_IMP01
SGP_EXP01,SWE_IMP01
SGP_EXP01,NOR_IMP01
SGP_EXP01,BEL_IMP01
SGP_EXP01,CYP_IMP01
SGP_EXP01,ESP_IMP01
SGP_EXP01,FRA_IMP01
SGP_EXP01,GBR_IMP01
SGP_EXP01,GRC_IMP01
SGP_EXP01,HRV_IMP01
SGP_EXP01,ITA_IMP01
SGP_EXP01,LTU_IMP01
SGP_EXP01,NLD_IMP01
SGP_EXP01,POL_IMP01
SGP_EXP01,PRT_IMP01
SLE_EXP01,BGR_IMP01
SLE_EXP01,DNK_IMP01
SLE_EXP01,EST_IMP01
SLE_EXP01,FIN_IMP01
SLE_EXP01,DEU_IMP01
SLE_EXP01,IRL_IMP01
SLE_EXP01,LVA_IMP01
SLE_EXP01,MLT_IMP01
SLE_EXP01,ROU_IMP01
SLE_EXP01,SVN_IMP01
SLE_EXP01,SWE_IMP01
SLE_EXP01,NOR_IMP01
SLE_EXP01,BEL_IMP01
SLE_EXP01,CYP_IMP01
SLE_EXP01,ESP_IMP01
SLE_EXP01,FRA_IMP01
SLE_EXP01,GBR_IMP01
SLE_EXP01,GRC_IMP01
SLE_EXP01,HRV_IMP01
SLE_EXP01,ITA_IMP01
SLE_EXP01,LTU_IMP01
SLE_EXP01,NLD_IMP01
SLE_EXP01,POL_IMP01
SLE_EXP01,PRT_IMP01
SYC_EXP01,BGR_IMP01
SYC_EXP01,DNK_IMP01
SYC_EXP01,EST_IMP01
SYC_EXP01,FIN_IMP01
SYC_EXP01,DEU_IMP01
SYC_EXP01,IRL_IMP01
SYC_EXP01,LVA_IMP01
SYC_EXP01,MLT_IMP01
SYC_EXP01,ROU_IMP01
SYC_EXP01,SVN_IMP01
SYC_EXP01,SWE_IMP01
SYC_EXP01,NOR_IMP01
SYC_EXP01,BEL_IMP01
SYC_EXP01,CYP_IMP01
SYC_EXP01,ESP_IMP01
SYC_EXP01,FRA_IMP01
SYC_EXP01,GBR_IMP01
SYC_EXP01,GRC_IMP01
SYC_EXP01,HRV_IMP01
SYC_EXP01,ITA_IMP01
SYC_EXP01,LTU_IMP01
SYC_EXP01,NLD_IMP01
SYC_EXP01,POL_IMP01
SYC_EXP01,PRT_IMP01
SEN_EXP01,BGR_IMP01
SEN_EXP01,DNK_IMP01
SEN_EXP01,EST_IMP01
SEN_EXP01,FIN_IMP01
SEN_EXP01,DEU_IMP01
SEN_EXP01,IRL_IMP01
SEN_EXP01,LVA_IMP01
SEN_EXP01,MLT_IMP01
SEN_EXP01,ROU_IMP01
SEN_EXP01,SVN_IMP01
SEN_EXP01,SWE_IMP01
SEN_EXP01,NOR_IMP01
SEN_EXP01,BEL_IMP01
SEN_EXP01,CYP_IMP01
SEN_EXP01,ESP_IMP01
SEN_EXP01,FRA_IMP01
SEN_EXP01,GBR_IMP01
SEN_EXP01,GRC_IMP01
SEN_EXP01,HRV_IMP01
SEN_EXP01,ITA_IMP01
SEN_EXP01,LTU_IMP01
SEN_EXP01,NLD_IMP01
SEN_EXP01,POL_IMP01
SEN_EXP01,PRT_IMP01
SAU_EXP01,BGR_IMP01
SAU_EXP01,DNK_IMP01
SAU_EXP01,EST_IMP01
SAU_EXP01,FIN_IMP01
SAU_EXP01,DEU_IMP01
SAU_EXP01,IRL_IMP01
SAU_EXP01,LVA_IMP01
SAU_EXP01,MLT_IMP01
SAU_EXP01,ROU_IMP01
SAU_EXP01,SVN_IMP01
SAU_EXP01,SWE_IMP01
SAU_EXP01,NOR_IMP01
SAU_EXP01,BEL_IMP01
SAU_EXP01,CYP_IMP01
SAU_EXP01,ESP_IMP01
SAU_EXP01,FRA_IMP01
SAU_EXP01,GBR_IMP01
SAU_EXP01,GRC_IMP01
SAU_EXP01,HRV_IMP01
SAU_EXP01,ITA_IMP01
SAU_EXP01,LTU_IMP01
SAU_EXP01,NLD_IMP01
SAU_EXP01,POL_IMP01
SAU_EXP01,PRT_IMP01
WSM_EXP01,BGR_IMP01
WSM_EXP01,DNK_IMP01
WSM_EXP01,EST_IMP01
WSM_EXP01,FIN_IMP01
WSM_EXP01,DEU_IMP01
WSM_EXP01,IRL_IMP01
WSM_EXP01,LVA_IMP01
WSM_EXP01,MLT_IMP01
WSM_EXP01,ROU_IMP01
WSM_EXP01,SVN_IMP01
WSM_EXP01,SWE_IMP01
WSM_EXP01,NOR_IMP01
WSM_EXP01,BEL_IMP01
WSM_EXP01,CYP_IMP01
WSM_EXP01,ESP_IMP01
WSM_EXP01,FRA_IMP01
WSM_EXP01,GBR_IMP01
WSM_EXP01,GRC_IMP01
WSM_EXP01,HRV_IMP01
WSM_EXP01,ITA_IMP01
WSM_EXP01,LTU_IMP01
WSM_EXP01,NLD_IMP01
WSM_EXP01,POL_IMP01
WSM_EXP01,PRT_IMP01
VCT_EXP01,BGR_IMP01
VCT_EXP01,DNK_IMP01
VCT_EXP01,EST_IMP01
VCT_EXP01,FIN_IMP01
VCT_EXP01,DEU_IMP01
VCT_EXP01,IRL_IMP01
VCT_EXP01,LVA_IMP01
VCT_EXP01,MLT_IMP01
