Zone_export,Zone_import
URY_EXP01,FIN_IMP01
URY_EXP01,DEU_IMP01
URY_EXP01,IRL_IMP01
URY_EXP01,LVA_IMP01
URY_EXP01,MLT_IMP01
URY_EXP01,ROU_IMP01
URY_EXP01,SVN_IMP01
URY_EXP01,SWE_IMP01
URY_EXP01,NOR_IMP01
URY_EXP01,BEL_IMP01
URY_EXP01,CYP_IMP01
URY_EXP01,ESP_IMP01
URY_EXP01,FRA_IMP01
URY_EXP01,GBR_IMP01
URY_EXP01,GRC_IMP01
URY_EXP01,HRV_IMP01
URY_EXP01,ITA_IMP01
URY_EXP01,LTU_IMP01
URY_EXP01,NLD_IMP01
URY_EXP01,POL_IMP01
URY_EXP01,PRT_IMP01
USA_EXP01,BGR_IMP01
USA_EXP01,DNK_IMP01
USA_EXP01,EST_IMP01
USA_EXP01,FIN_IMP01
USA_EXP01,DEU_IMP01
USA_EXP01,IRL_IMP01
USA_EXP01,LVA_IMP01
USA_EXP01,MLT_IMP01
USA_EXP01,ROU_IMP01
USA_EXP01,SVN_IMP01
USA_EXP01,SWE_IMP01
USA_EXP01,NOR_IMP01
USA_EXP01,BEL_IMP01
USA_EXP01,CYP_IMP01
USA_EXP01,ESP_IMP01
USA_EXP01,FRA_IMP01
USA_EXP01,GBR_IMP01
USA_EXP01,GRC_IMP01
USA_EXP01,HRV_IMP01
USA_EXP01,ITA_IMP01
USA_EXP01,LTU_IMP01
USA_EXP01,NLD_IMP01
USA_EXP01,POL_IMP01
USA_EXP01,PRT_IMP01
ARE_EXP01,BGR_IMP01
ARE_EXP01,DNK_IMP01
ARE_EXP01,EST_IMP01
ARE_EXP01,FIN_IMP01
ARE_EXP01,DEU_IMP01
ARE_EXP01,IRL_IMP01
ARE_EXP01,LVA_IMP01
ARE_EXP01,MLT_IMP01
ARE_EXP01,ROU_IMP01
ARE_EXP01,SVN_IMP01
ARE_EXP01,SWE_IMP01
ARE_EXP01,NOR_IMP01
ARE_EXP01,BEL_IMP01
ARE_EXP01,CYP_IMP01
ARE_EXP01,ESP_IMP01
ARE_EXP01,FRA_IMP01
ARE_EXP01,GBR_IMP01
ARE_EXP01,GRC_IMP01
ARE_EXP01,HRV_IMP01
ARE_EXP01,ITA_IMP01
ARE_EXP01,LTU_IMP01
ARE_EXP01,NLD_IMP01
ARE_EXP01,POL_IMP01
ARE_EXP01,PRT_IMP01
UKR_EXP01,BGR_IMP01
UKR_EXP01,DNK_IMP01
UKR_EXP01,EST_IMP01
UKR_EXP01,FIN_IMP01
UKR_EXP01,DEU_IMP01
UKR_EXP01,IRL_IMP01
UKR_EXP01,LVA_IMP01
UKR_EXP01,MLT_IMP01
UKR_EXP01,ROU_IMP01
UKR_EXP01,SVN_IMP01
UKR_EXP01,SWE_IMP01
UKR_EXP01,NOR_IMP01
UKR_EXP01,BEL_IMP01
UKR_EXP01,CYP_IMP01
UKR_EXP01,ESP_IMP01
UKR_EXP01,FRA_IMP01
UKR_EXP01,GBR_IMP01
UKR_EXP01,GRC_IMP01
UKR_EXP01,HRV_IMP01
UKR_EXP01,ITA_IMP01
UKR_EXP01,LTU_IMP01
UKR_EXP01,NLD_IMP01
UKR_EXP01,POL_IMP01
UKR_EXP01,PRT_IMP01
TUR_EXP01,BGR_IMP01
TUR_EXP01,DNK_IMP01
TUR_EXP01,EST_IMP01
TUR_EXP01,FIN_IMP01
TUR_EXP01,DEU_IMP01
TUR_EXP01,IRL_IMP01
TUR_EXP01,LVA_IMP01
TUR_EXP01,MLT_IMP01
TUR_EXP01,ROU_IMP01
TUR_EXP01,SVN_IMP01
TUR_EXP01,SWE_IMP01
TUR_EXP01,NOR_IMP01
TUR_EXP01,BEL_IMP01
TUR_EXP01,CYP_IMP01
TUR_EXP01,ESP_IMP01
TUR_EXP01,FRA_IMP01
TUR_EXP01,GBR_IMP01
TUR_EXP01,GRC_IMP01
TUR_EXP01,HRV_IMP01
TUR_EXP01,ITA_IMP01
TUR_EXP01,LTU_IMP01
TUR_EXP01,NLD_IMP01
TUR_EXP01,POL_IMP01
TUR_EXP01,PRT_IMP01
TUN_EXP01,BGR_IMP01
TUN_EXP01,DNK_IMP01
TUN_EXP01,EST_IMP01
TUN_EXP01,FIN_IMP01
TUN_EXP01,DEU_IMP01
TUN_EXP01,IRL_IMP01
TUN_EXP01,LVA_IMP01
TUN_EXP01,MLT_IMP01
TUN_EXP01,ROU_IMP01
TUN_EXP01,SVN_IMP01
TUN_EXP01,SWE_IMP01
TUN_EXP01,NOR_IMP01
TUN_EXP01,BEL_IMP01
TUN_EXP01,CYP_IMP01
TUN_EXP01,ESP_IMP01
TUN_EXP01,FRA_IMP01
TUN_EXP01,GBR_IMP01
TUN_EXP01,GRC_IMP01
TUN_EXP01,HRV_IMP01
TUN_EXP01,ITA_IMP01
TUN_EXP01,LTU_IMP01
TUN_EXP01,NLD_IMP01
TUN_EXP01,POL_IMP01
TUN_EXP01,PRT_IMP01
TTO_EXP01,BGR_IMP01
TTO_EXP01,DNK_IMP01
TTO_EXP01,EST_IMP01
TTO_EXP01,FIN_IMP01
TTO_EXP01,DEU_IMP01
TTO_EXP01,IRL_IMP01
TTO_EXP01,LVA_IMP01
TTO_EXP01,MLT_IMP01
TTO_EXP01,ROU_IMP01
TTO_EXP01,SVN_IMP01
TTO_EXP01,SWE_IMP01
TTO_EXP01,NOR_IMP01
TTO_EXP01,BEL_IMP01
TTO_EXP01,CYP_IMP01
TTO_EXP01,ESP_IMP01
TTO_EXP01,FRA_IMP01
TTO_EXP01,GBR_IMP01
TTO_EXP01,GRC_IMP01
TTO_EXP01,HRV_IMP01
TTO_EXP01,ITA_IMP01
TTO_EXP01,LTU_IMP01
TTO_EXP01,NLD_IMP01
TTO_EXP01,POL_IMP01
TTO_EXP01,PRT_IMP01
TON_EXP01,BGR_IMP01
TON_EXP01,DNK_IMP01
TON_EXP01,EST_IMP01
TON_EXP01,FIN_IMP01
TON_EXP01,DEU_IMP01
TON_EXP01,IRL_IMP01
TON_EXP01,LVA_IMP01
TON_EXP01,MLT_IMP01
TON_EXP01,ROU_IMP01
TON_EXP01,SVN_IMP01
TON_EXP01,SWE_IMP01
TON_EXP01,NOR_IMP01
TON_EXP01,BEL_IMP01
TON_EXP01,CYP_IMP01
TON_EXP01,ESP_IMP01
TON_EXP01,FRA_IMP01
TON_EXP01,GBR_IMP01
TON_EXP01,GRC_IMP01
TON_EXP01,HRV_IMP01
TON_EXP01,ITA_IMP01
TON_EXP01,LTU_IMP01
TON_EXP01,NLD_IMP01
TON_EXP01,POL_IMP01
TON_EXP01,PRT_IMP01
TGO_EXP01,BGR_IMP01
TGO_EXP01,DNK_IMP01
TGO_EXP01,EST_IMP01
TGO_EXP01,FIN_IMP01
TGO_EXP01,DEU_IMP01
TGO_EXP01,IRL_IMP01
TGO_EXP01,LVA_IMP01
TGO_EXP01,MLT_IMP01
