Sensitivity,Country,Cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,Lcoh,1.694853991144717,1.485694915747709,7.2445003536083385,76064.1083558429,192.67762552584617
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,Volume,0.0,1.045635017371762,10.238110996356223,31398.38613626736,579.9513742751752
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,Profit,0.0945153305428143,1.7587137018164507,8.487799063898951,52983.29887177541,327.5496354652767
Default,FRA,FRA_FR21,Hybrid,Alkaline,2020,Lcoh,1.5354501716005484,1.6469750488604602,6.6264984190900185,85037.8573550379,410.0241891637167
Default,FRA,FRA_FR21,Hybrid,Alkaline,2020,Volume,0.0,1.031813909106585,8.718709195403676,36610.13381969444,1252.6743105720566
Default,FRA,FRA_FR21,Hybrid,Alkaline,2020,Profit,0.0,1.5499009923622327,7.576766678725749,53596.102654129645,833.9415121341308
Default,FRA,FRA_FR22,Hybrid,Alkaline,2020,Lcoh,1.4230617608588825,1.600571853624213,6.470499514154885,84292.6555854337,326.8674151549169
Default,FRA,FRA_FR22,Hybrid,Alkaline,2020,Volume,0.0,1.0305500443171078,8.303675056893901,38416.45612466246,950.1786659527239
Default,FRA,FRA_FR22,Hybrid,Alkaline,2020,Profit,0.0,1.4692756398979563,7.31179572476977,53692.36057297943,666.4553877547154
Default,FRA,FRA_FR23,Hybrid,Alkaline,2020,Lcoh,1.259259231705484,1.6745518346656396,6.002498073574843,90433.56430007279,212.92913846403852
Default,FRA,FRA_FR23,Hybrid,Alkaline,2020,Volume,0.0,1.019210373686676,7.415486363127465,42767.04153859397,607.7610366752666
Default,FRA,FRA_FR23,Hybrid,Alkaline,2020,Profit,0.0,1.3642366633888652,6.670859132102054,56218.31643243303,454.0534424307833
Default,FRA,FRA_FR24,Hybrid,Alkaline,2020,Lcoh,1.5230142988460924,1.5932145216690727,6.563499145117143,84307.91513395934,643.8333388689779
Default,FRA,FRA_FR24,Hybrid,Alkaline,2020,Volume,0.0,1.018576894333811,8.73838246323217,36273.75165360704,1950.86419675379
Default,FRA,FRA_FR24,Hybrid,Alkaline,2020,Profit,0.0,1.589067792187166,7.5167107987429285,54898.24996707046,1250.4848468808761
Default,FRA,FRA_FR25,Hybrid,Alkaline,2020,Lcoh,1.220557500491063,1.6608474634744466,5.831498642976112,92085.54574668956,312.25426493244635
Default,FRA,FRA_FR25,Hybrid,Alkaline,2020,Volume,2.6075475254232815e-05,1.0217024086392266,7.163813370224945,44330.03455822077,873.2832882369744
Default,FRA,FRA_FR25,Hybrid,Alkaline,2020,Profit,0.0,1.38431204581738,6.434493491413822,58809.42313465015,644.5497360896023
Default,FRA,FRA_FR26,Hybrid,Alkaline,2020,Lcoh,1.4272849502780376,1.6536619156156884,6.307498860193391,87946.81116960922,522.7671751789834
Default,FRA,FRA_FR26,Hybrid,Alkaline,2020,Volume,0.0,1.0301074997033937,8.166429870525365,39053.7134537983,1549.3409561767046
Default,FRA,FRA_FR26,Hybrid,Alkaline,2020,Profit,0.0,1.4673567171221158,7.232226550234623,54239.344233931115,1087.6617252861422
Default,FRA,FRA_FR30,Hybrid,Alkaline,2020,Lcoh,1.296473430019172,1.6741115054487488,6.198497576602728,88109.60737807461,212.21759550502676
Default,FRA,FRA_FR30,Hybrid,Alkaline,2020,Volume,0.0,1.019818385525197,7.7412193696860205,40978.5715279835,612.8695143298703
Default,FRA,FRA_FR30,Hybrid,Alkaline,2020,Profit,0.0,1.3925874088857457,6.928243733165496,54813.07757410886,448.8160632886917
Default,FRA,FRA_FR41,Hybrid,Alkaline,2020,Lcoh,1.7788773169402508,1.3448713865278537,7.395499328787311,72360.98259221349,384.9435316859619
Default,FRA,FRA_FR41,Hybrid,Alkaline,2020,Volume,0.0,1.0203436637513146,11.050947284750004,28703.564640691355,1165.332907059196
Default,FRA,FRA_FR41,Hybrid,Alkaline,2020,Profit,1.1396072184842685,1.4338606345650993,7.692104967498098,63872.34245330999,466.0850253139557
Default,FRA,FRA_FR42,Hybrid,Alkaline,2020,Lcoh,2.22986071109593,0.0,7.709499390273677,45544.12839646957,191.60056657142462
Default,FRA,FRA_FR42,Hybrid,Alkaline,2020,Volume,1.3422411357372994,0.0,8.86070148812817,30420.18884679261,318.3053806398607
Default,FRA,FRA_FR42,Hybrid,Alkaline,2020,Profit,1.6949173071103314,0.0,7.9940928789936985,37774.095875455336,252.0728143072342
Default,FRA,FRA_FR43,Hybrid,Alkaline,2020,Lcoh,2.1996933601662905,0.0050495387008803565,7.687494313163309,45424.26757460672,379.03654863356456
Default,FRA,FRA_FR43,Hybrid,Alkaline,2020,Volume,1.3122765681752353,0.0,8.889793440250802,30010.95365241936,636.8447311129632
Default,FRA,FRA_FR43,Hybrid,Alkaline,2020,Profit,1.6653740237463655,0.06791358614188418,7.967011514420175,38990.79514909611,481.7792651888185
Default,FRA,FRA_FR51,Hybrid,Alkaline,2020,Lcoh,1.245854474284017,1.709081938878247,5.8094984216196845,94227.17174251236,554.6323934239392
Default,FRA,FRA_FR51,Hybrid,Alkaline,2020,Volume,0.0,1.0223161117557933,7.191311331587175,44174.28655037998,1589.8747838748316
Default,FRA,FRA_FR51,Hybrid,Alkaline,2020,Profit,0.0,1.3952749416165173,6.437727631017131,59065.34191908358,1164.89915983614
Default,FRA,FRA_FR52,Hybrid,Alkaline,2020,Lcoh,1.3768048287193195,1.636686987053572,6.120498700725057,89414.92388488688,461.97811735505917
Default,FRA,FRA_FR52,Hybrid,Alkaline,2020,Volume,0.0,1.0251515471946135,7.781334507234754,40881.950314789196,1345.8455369463343
Default,FRA,FRA_FR52,Hybrid,Alkaline,2020,Profit,0.0,1.458569319958996,6.879551863558726,56809.3910645344,945.9239376598752
Default,FRA,FRA_FR53,Hybrid,Alkaline,2020,Lcoh,1.3273782052839702,1.6296330239866614,5.885499540313418,92017.89920638182,444.745965327771
Default,FRA,FRA_FR53,Hybrid,Alkaline,2020,Volume,0.0,1.029682420437912,7.443035003714772,42844.398889559976,1265.966451425254
Default,FRA,FRA_FR53,Hybrid,Alkaline,2020,Profit,0.0,1.4353467660790067,6.621333684874938,58439.86698561251,908.1731541832854
Default,FRA,FRA_FR61,Hybrid,Alkaline,2020,Lcoh,2.1612012546283172,0.0,7.128496841091951,48376.002262656424,989.6461819274851
Default,FRA,FRA_FR61,Hybrid,Alkaline,2020,Volume,1.3368322287078893,0.0,8.13020683032519,33095.345428569504,1599.9199630959513
Default,FRA,FRA_FR61,Hybrid,Alkaline,2020,Profit,1.6501345363870088,0.0,7.394394556606257,40285.009938109026,1296.151630583279
Default,FRA,FRA_FR62,Hybrid,Alkaline,2020,Lcoh,1.4893901934740479,1.3150075844837061,6.421498387764024,78430.12773265691,825.5918437613494
