Sensitivity,Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh,H2_volume
Onshore_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9198146804184426,1.9720428019661778,10.335624954426125,88613.8012088467
Onshore_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2020,1.904670147685452,2.1845157497594303,12.656463187627978,89493.40664302603
Onshore_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2025,1.9585502097696232,1.9699602095881683,11.619884445257672,87546.77010152364
Onshore_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9889629314241017,1.8190038931518093,10.705072772944305,86284.42141514839
Electrolyser_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8607733405934146,2.120846859939864,12.082532868193377,87994.47941848886
Electrolyser_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2025,1.925180782062355,1.9293437007664298,11.110573441233887,86488.24772918836
Electrolyser_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9585502097696232,1.7771045202057505,10.251762703649446,85170.87358654474
Electrolyser_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8785712479321117,2.328913275415333,12.692415182354363,91718.90010693102
Electrolyser_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2025,1.9464711377203385,2.0569728606946978,11.656065508114251,89028.68851749314
Electrolyser_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9734569158190565,1.8944148304970003,10.734662924247736,87619.36051671024
Wacc_M10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8858158703802232,2.328913275415333,11.890909744845617,91781.63371453478
Wacc_M10,FRA,FRA_FR10,Hybrid,PEM,2025,1.948006106921512,2.0632856100700447,10.902166434185935,89155.47796242886
Wacc_M10,FRA,FRA_FR10,Hybrid,PEM,2030,1.97569284966602,1.8970579534837146,10.024928727165378,87689.98246399246
Wacc_P10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8704086659701677,2.238822337771098,12.77119504123554,90124.59204832492
Wacc_P10,FRA,FRA_FR10,Hybrid,PEM,2025,1.9381633924709043,1.9926872331140233,11.742554415928698,87786.21284510578
Wacc_P10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9650190085459966,1.850064259249851,10.830532107036523,86682.17151789974
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.735101257842297,1.3161988446098938,8.777437416093527,72589.27609874905
Default,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.807423606327878,1.1217802164304223,8.002371599501052,71038.36109304125
Default,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.8891114712992954,0.8393782188427313,7.306465384664648,66611.343941261
Res_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.7530078540964045,1.3449668091125957,8.357939475494469,73503.62314332929
Res_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.82616278717257,1.1831307402314826,7.626216888911429,72877.83147266776
Res_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.904042179370913,0.877914951989026,6.965223949981913,67893.49447545003
Res_Capex_C10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.7252074937735098,1.3037509726068304,8.965673491876816,72161.81465626831
Res_Capex_C10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.799098240258532,1.1024840408678263,8.170736620885496,70423.73880497845
Res_Capex_C10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.8874918061406878,0.8029824153156753,7.459234619752754,65556.01553957899
PV_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.813411658502137,1.230164778404376,8.576453355877081,71440.61749666414
PV_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.8994896266314918,1.0005282342663548,7.806284313093731,68946.53319148363
PV_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2030,2.066507754649322,0.397410060571164,7.084706231145602,56145.473313403025
PV_Capex_C10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.706644540106117,1.3506255215118477,8.849493159263822,73056.17306197793
PV_Capex_C10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.7659661316391861,1.1931782950140217,8.07215683207067,72376.04826638744
PV_Capex_C10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.8587610592751032,0.877914951989026,7.381886571005056,67303.49860223972
Onshore_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.6858965866412916,1.417169723064451,8.524236452756085,74364.98578845893
Onshore_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.7441471196591323,1.2834538547082368,7.785274507139468,74413.46030020423
Onshore_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.7879085120191398,1.099577983342022,7.124533136432756,72568.87458995235
Onshore_Capex_P10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.758539518027401,1.2730385723810007,8.865622768313036,71829.4349247655
Onshore_Capex_P10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.8397724413464656,1.06397511671098,8.073742058359397,69916.0473381283
Onshore_Capex_P10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.9629735431630269,0.6326000997846037,7.354219409573364,61657.902466962834
Electrolyser_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.730512593299107,1.2437128486511204,8.579988988849808,70749.95501548979
Electrolyser_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.7979057958555982,1.0700802232146551,7.820580556533477,69546.05242440224
Electrolyser_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.927088235817767,0.6375033693832959,7.130860239311206,61327.52387987406
Electrolyser_Capex_P10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.7391065499731935,1.3434097957581175,8.835159361270268,73294.23000080015
Electrolyser_Capex_P10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.8117214239539097,1.1802097539554757,8.055180064829512,72621.87045475851
Electrolyser_Capex_P10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.8918774324297545,0.877914951989026,7.357316936756473,67737.28620237866
Wacc_M10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.7416796972758972,1.3106671806788972,8.200807827158437,72537.92057556468
Wacc_M10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.8127362472743427,1.1217802164304223,7.467666612282489,71105.71884716628
Wacc_M10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.883184494606783,0.868297900055144,6.811433322494555,67352.72176950832
Wacc_P10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.733399217163445,1.3176328747933028,9.00492122991971,72602.54667197513
Wacc_P10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.8071724190020624,1.1217802164304223,8.214397930381967,71035.16740620958
Wacc_P10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.888656665610059,0.8393782188427313,7.503080512158477,66605.39396118278
