id_init,Ctry_iso3,Id,Longitude,Latitude
1404,CAN,"182",-106.4999885410,49.1236001620
1452,CAN,"183",-103.4999885410,79.1236001620
1453,CAN,"184",-103.4999885410,76.1236001620
1454,CAN,"185",-103.4999885410,73.1236001620
1455,CAN,"186",-103.4999885410,70.1236001620
1456,CAN,"187",-103.4999885410,67.1236001620
1457,CAN,"188",-103.4999885410,64.1236001620
1458,CAN,"189",-103.4999885410,61.1236001620
1459,CAN,"190",-103.4999885410,58.1236001620
1460,CAN,"191",-103.4999885410,55.1236001620
1461,CAN,"192",-103.4999885410,52.1236001620
1462,CAN,"193",-103.4999885410,49.1236001620
1510,CAN,"194",-100.4999885410,79.1236001620
1511,CAN,"195",-100.4999885410,76.1236001620
1512,CAN,"196",-100.4999885410,73.1236001620
1513,CAN,"197",-100.4999885410,70.1236001620
1514,CAN,"198",-100.4999885410,67.1236001620
1515,CAN,"199",-100.4999885410,64.1236001620
1516,CAN,"200",-100.4999885410,61.1236001620
1517,CAN,"201",-100.4999885410,58.1236001620
1518,CAN,"202",-100.4999885410,55.1236001620
1519,CAN,"203",-100.4999885410,52.1236001620
1520,CAN,"204",-100.4999885410,49.1236001620
1567,CAN,"205",-97.4999885410,82.1236001620
1568,CAN,"206",-97.4999885410,79.1236001620
1569,CAN,"207",-97.4999885410,76.1236001620
1570,CAN,"208",-97.4999885410,73.1236001620
1571,CAN,"209",-97.4999885410,70.1236001620
1572,CAN,"210",-97.4999885410,67.1236001620
1573,CAN,"211",-97.4999885410,64.1236001620
1574,CAN,"212",-97.4999885410,61.1236001620
1575,CAN,"213",-97.4999885410,58.1236001620
1576,CAN,"214",-97.4999885410,55.1236001620
1577,CAN,"215",-97.4999885410,52.1236001620
1578,CAN,"216",-97.4999885410,49.1236001620
1625,CAN,"217",-94.4999885410,82.1236001620
1626,CAN,"218",-94.4999885410,79.1236001620
1627,CAN,"219",-94.4999885410,76.1236001620
1628,CAN,"220",-94.4999885410,73.1236001620
1629,CAN,"221",-94.4999885410,70.1236001620
1630,CAN,"222",-94.4999885410,67.1236001620
1631,CAN,"223",-94.4999885410,64.1236001620
1632,CAN,"224",-94.4999885410,61.1236001620
1633,CAN,"225",-94.4999885410,58.1236001620
1634,CAN,"226",-94.4999885410,55.1236001620
1635,CAN,"227",-94.4999885410,52.1236001620
1636,CAN,"228",-94.4999885410,49.1236001620
1683,CAN,"229",-91.4999885410,82.1236001620
1684,CAN,"230",-91.4999885410,79.1236001620
1685,CAN,"231",-91.4999885410,76.1236001620
1686,CAN,"232",-91.4999885410,73.1236001620
1687,CAN,"233",-91.4999885410,70.1236001620
1688,CAN,"234",-91.4999885410,67.1236001620
1689,CAN,"235",-91.4999885410,64.1236001620
1690,CAN,"236",-91.4999885410,61.1236001620
1691,CAN,"237",-91.4999885410,58.1236001620
1692,CAN,"238",-91.4999885410,55.1236001620
1693,CAN,"239",-91.4999885410,52.1236001620
1694,CAN,"240",-91.4999885410,49.1236001620
1741,CAN,"241",-88.4999885410,82.1236001620
1742,CAN,"242",-88.4999885410,79.1236001620
1743,CAN,"243",-88.4999885410,76.1236001620
1744,CAN,"244",-88.4999885410,73.1236001620
1745,CAN,"245",-88.4999885410,70.1236001620
1746,CAN,"246",-88.4999885410,67.1236001620
1747,CAN,"247",-88.4999885410,64.1236001620
1749,CAN,"248",-88.4999885410,58.1236001620
1750,CAN,"249",-88.4999885410,55.1236001620
1751,CAN,"250",-88.4999885410,52.1236001620
1752,CAN,"251",-88.4999885410,49.1236001620
1799,CAN,"252",-85.4999885410,82.1236001620
1800,CAN,"253",-85.4999885410,79.1236001620
1801,CAN,"254",-85.4999885410,76.1236001620
1802,CAN,"255",-85.4999885410,73.1236001620
1803,CAN,"256",-85.4999885410,70.1236001620
1804,CAN,"257",-85.4999885410,67.1236001620
1805,CAN,"258",-85.4999885410,64.1236001620
1808,CAN,"259",-85.4999885410,55.1236001620
1809,CAN,"260",-85.4999885410,52.1236001620
1810,CAN,"261",-85.4999885410,49.1236001620
1811,CAN,"262",-85.4999885410,46.1236001620
1857,CAN,"263",-82.4999885410,82.1236001620
1858,CAN,"264",-82.4999885410,79.1236001620
1859,CAN,"265",-82.4999885410,76.1236001620
1860,CAN,"266",-82.4999885410,73.1236001620
1861,CAN,"267",-82.4999885410,70.1236001620
1862,CAN,"268",-82.4999885410,67.1236001620
1863,CAN,"269",-82.4999885410,64.1236001620
1864,CAN,"270",-82.4999885410,61.1236001620
1866,CAN,"271",-82.4999885410,55.1236001620
1867,CAN,"272",-82.4999885410,52.1236001620
1868,CAN,"273",-82.4999885410,49.1236001620
1869,CAN,"274",-82.4999885410,46.1236001620
1870,CAN,"275",-82.4999885410,43.1236001620
1915,CAN,"276",-79.4999885410,82.1236001620
1916,CAN,"277",-79.4999885410,79.1236001620
1917,CAN,"278",-79.4999885410,76.1236001620
1918,CAN,"279",-79.4999885410,73.1236001620
1919,CAN,"280",-79.4999885410,70.1236001620
1920,CAN,"281",-79.4999885410,67.1236001620
1921,CAN,"282",-79.4999885410,64.1236001620
1922,CAN,"283",-79.4999885410,61.1236001620
1923,CAN,"284",-79.4999885410,58.1236001620
1924,CAN,"285",-79.4999885410,55.1236001620
1925,CAN,"286",-79.4999885410,52.1236001620
1926,CAN,"287",-79.4999885410,49.1236001620
1927,CAN,"288",-79.4999885410,46.1236001620
1928,CAN,"289",-79.4999885410,43.1236001620
1973,CAN,"290",-76.4999885410,82.1236001620
1974,CAN,"291",-76.4999885410,79.1236001620
1975,CAN,"292",-76.4999885410,76.1236001620
1976,CAN,"293",-76.4999885410,73.1236001620
1977,CAN,"294",-76.4999885410,70.1236001620
1978,CAN,"295",-76.4999885410,67.1236001620
1979,CAN,"296",-76.4999885410,64.1236001620
1980,CAN,"297",-76.4999885410,61.1236001620
1981,CAN,"298",-76.4999885410,58.1236001620
1982,CAN,"299",-76.4999885410,55.1236001620
1983,CAN,"300",-76.4999885410,52.1236001620
1984,CAN,"301",-76.4999885410,49.1236001620
1985,CAN,"302",-76.4999885410,46.1236001620
1986,CAN,"303",-76.4999885410,43.1236001620
2031,CAN,"304",-73.4999885410,82.1236001620
2032,CAN,"305",-73.4999885410,79.1236001620
2034,CAN,"306",-73.4999885410,73.1236001620
2035,CAN,"307",-73.4999885410,70.1236001620
2036,CAN,"308",-73.4999885410,67.1236001620
2037,CAN,"309",-73.4999885410,64.1236001620
2038,CAN,"310",-73.4999885410,61.1236001620
2039,CAN,"311",-73.4999885410,58.1236001620
2040,CAN,"312",-73.4999885410,55.1236001620
2041,CAN,"313",-73.4999885410,52.1236001620
2042,CAN,"314",-73.4999885410,49.1236001620
2043,CAN,"315",-73.4999885410,46.1236001620
2089,CAN,"316",-70.4999885410,82.1236001620
2090,CAN,"317",-70.4999885410,79.1236001620
2093,CAN,"318",-70.4999885410,70.1236001620
2094,CAN,"319",-70.4999885410,67.1236001620
2095,CAN,"320",-70.4999885410,64.1236001620
2096,CAN,"321",-70.4999885410,61.1236001620
2097,CAN,"322",-70.4999885410,58.1236001620
2098,CAN,"323",-70.4999885410,55.1236001620
2099,CAN,"324",-70.4999885410,52.1236001620
2100,CAN,"325",-70.4999885410,49.1236001620
2101,CAN,"326",-70.4999885410,46.1236001620
2147,CAN,"327",-67.4999885410,82.1236001620
2148,CAN,"328",-67.4999885410,79.1236001620
2151,CAN,"329",-67.4999885410,70.1236001620
2152,CAN,"330",-67.4999885410,67.1236001620
2153,CAN,"331",-67.4999885410,64.1236001620
2154,CAN,"332",-67.4999885410,61.1236001620
2155,CAN,"333",-67.4999885410,58.1236001620
2156,CAN,"334",-67.4999885410,55.1236001620
2157,CAN,"335",-67.4999885410,52.1236001620
2158,CAN,"336",-67.4999885410,49.1236001620
2159,CAN,"337",-67.4999885410,46.1236001620
2160,CAN,"338",-67.4999885410,43.1236001620
2205,CAN,"339",-64.4999885410,82.1236001620
2210,CAN,"340",-64.4999885410,67.1236001620
2211,CAN,"341",-64.4999885410,64.1236001620
2212,CAN,"342",-64.4999885410,61.1236001620
2213,CAN,"343",-64.4999885410,58.1236001620
2214,CAN,"344",-64.4999885410,55.1236001620
2215,CAN,"345",-64.4999885410,52.1236001620
2216,CAN,"346",-64.4999885410,49.1236001620
2217,CAN,"347",-64.4999885410,46.1236001620
2218,CAN,"348",-64.4999885410,43.1236001620
2263,CAN,"349",-61.4999885410,82.1236001620
2268,CAN,"350",-61.4999885410,67.1236001620
2269,CAN,"351",-61.4999885410,64.1236001620
2271,CAN,"352",-61.4999885410,58.1236001620
2272,CAN,"353",-61.4999885410,55.1236001620
2273,CAN,"354",-61.4999885410,52.1236001620
2274,CAN,"355",-61.4999885410,49.1236001620
2275,CAN,"356",-61.4999885410,46.1236001620
2330,CAN,"357",-58.4999885410,55.1236001620
2331,CAN,"358",-58.4999885410,52.1236001620
2332,CAN,"359",-58.4999885410,49.1236001620
2333,CAN,"360",-58.4999885410,46.1236001620
2388,CAN,"361",-55.4999885410,55.1236001620
2389,CAN,"362",-55.4999885410,52.1236001620
2390,CAN,"363",-55.4999885410,49.1236001620
2391,CAN,"364",-55.4999885410,46.1236001620
2448,CAN,"365",-52.4999885410,49.1236001620
2449,CAN,"366",-52.4999885410,46.1236001620
2072,ARG,"367",-73.4999885410,-40.8763998380
2073,ARG,"368",-73.4999885410,-43.8763998380
2074,ARG,"369",-73.4999885410,-46.8763998380
2075,ARG,"370",-73.4999885410,-49.8763998380
2076,ARG,"371",-73.4999885410,-52.8763998380
2126,ARG,"372",-70.4999885410,-28.8763998380
2127,ARG,"373",-70.4999885410,-31.8763998380
2128,ARG,"374",-70.4999885410,-34.8763998380
2129,ARG,"375",-70.4999885410,-37.8763998380
2130,ARG,"376",-70.4999885410,-40.8763998380
2131,ARG,"377",-70.4999885410,-43.8763998380
2132,ARG,"378",-70.4999885410,-46.8763998380
2133,ARG,"379",-70.4999885410,-49.8763998380
2134,ARG,"380",-70.4999885410,-52.8763998380
2182,ARG,"381",-67.4999885410,-22.8763998380
2183,ARG,"382",-67.4999885410,-25.8763998380
2184,ARG,"383",-67.4999885410,-28.8763998380
2185,ARG,"384",-67.4999885410,-31.8763998380
2186,ARG,"385",-67.4999885410,-34.8763998380
2187,ARG,"386",-67.4999885410,-37.8763998380
2188,ARG,"387",-67.4999885410,-40.8763998380
2189,ARG,"388",-67.4999885410,-43.8763998380
2190,ARG,"389",-67.4999885410,-46.8763998380
2191,ARG,"390",-67.4999885410,-49.8763998380
2192,ARG,"391",-67.4999885410,-52.8763998380
2193,ARG,"392",-67.4999885410,-55.8763998380
2240,ARG,"393",-64.4999885410,-22.8763998380
2241,ARG,"394",-64.4999885410,-25.8763998380
2242,ARG,"395",-64.4999885410,-28.8763998380
2243,ARG,"396",-64.4999885410,-31.8763998380
2244,ARG,"397",-64.4999885410,-34.8763998380
2245,ARG,"398",-64.4999885410,-37.8763998380
2246,ARG,"399",-64.4999885410,-40.8763998380
2247,ARG,"400",-64.4999885410,-43.8763998380
2248,ARG,"401",-64.4999885410,-46.8763998380
2251,ARG,"402",-64.4999885410,-55.8763998380
2298,ARG,"403",-61.4999885410,-22.8763998380
2299,ARG,"404",-61.4999885410,-25.8763998380
2300,ARG,"405",-61.4999885410,-28.8763998380
2301,ARG,"406",-61.4999885410,-31.8763998380
2302,ARG,"407",-61.4999885410,-34.8763998380
2303,ARG,"408",-61.4999885410,-37.8763998380
2304,ARG,"409",-61.4999885410,-40.8763998380
2356,ARG,"410",-58.4999885410,-22.8763998380
2357,ARG,"411",-58.4999885410,-25.8763998380
2358,ARG,"412",-58.4999885410,-28.8763998380
2359,ARG,"413",-58.4999885410,-31.8763998380
2360,ARG,"414",-58.4999885410,-34.8763998380
2361,ARG,"415",-58.4999885410,-37.8763998380
2415,ARG,"416",-55.4999885410,-25.8763998380
2416,ARG,"417",-55.4999885410,-28.8763998380
2418,ARG,"418",-55.4999885410,-34.8763998380
2419,ARG,"419",-55.4999885410,-37.8763998380
2473,ARG,"420",-52.4999885410,-25.8763998380
2307,FLK,"421",-61.4999885410,-49.8763998380
2308,FLK,"422",-61.4999885410,-52.8763998380
2365,FLK,"423",-58.4999885410,-49.8763998380
2366,FLK,"424",-58.4999885410,-52.8763998380
1371,CHL,"425",-109.4999885410,-25.8763998380
2015,CHL,"426",-76.4999885410,-43.8763998380
2016,CHL,"427",-76.4999885410,-46.8763998380
2017,CHL,"428",-76.4999885410,-49.8763998380
2018,CHL,"429",-76.4999885410,-52.8763998380
2070,CHL,"430",-73.4999885410,-34.8763998380
2071,CHL,"431",-73.4999885410,-37.8763998380
2077,CHL,"432",-73.4999885410,-55.8763998380
2122,CHL,"433",-70.4999885410,-16.8763998380
2123,CHL,"434",-70.4999885410,-19.8763998380
2124,CHL,"435",-70.4999885410,-22.8763998380
2125,CHL,"436",-70.4999885410,-25.8763998380
2135,CHL,"437",-70.4999885410,-55.8763998380
2181,CHL,"438",-67.4999885410,-19.8763998380
1710,ECU,"439",-91.4999885410,1.1236001620
1711,ECU,"440",-91.4999885410,-1.8763998380
1769,ECU,"441",-88.4999885410,-1.8763998380
1942,ECU,"442",-79.4999885410,1.1236001620
1943,ECU,"443",-79.4999885410,-1.8763998380
1944,ECU,"444",-79.4999885410,-4.8763998380
2000,ECU,"445",-76.4999885410,1.1236001620
2001,ECU,"446",-76.4999885410,-1.8763998380
1886,PER,"447",-82.4999885410,-4.8763998380
1945,PER,"448",-79.4999885410,-7.8763998380
1946,PER,"449",-79.4999885410,-10.8763998380
2002,PER,"450",-76.4999885410,-4.8763998380
2003,PER,"451",-76.4999885410,-7.8763998380
2004,PER,"452",-76.4999885410,-10.8763998380
2005,PER,"453",-76.4999885410,-13.8763998380
2006,PER,"454",-76.4999885410,-16.8763998380
2058,PER,"455",-73.4999885410,1.1236001620
2059,PER,"456",-73.4999885410,-1.8763998380
2060,PER,"457",-73.4999885410,-4.8763998380
2061,PER,"458",-73.4999885410,-7.8763998380
2062,PER,"459",-73.4999885410,-10.8763998380
2063,PER,"460",-73.4999885410,-13.8763998380
2064,PER,"461",-73.4999885410,-16.8763998380
2117,PER,"462",-70.4999885410,-1.8763998380
2118,PER,"463",-70.4999885410,-4.8763998380
2120,PER,"464",-70.4999885410,-10.8763998380
2121,PER,"465",-70.4999885410,-13.8763998380
2178,PER,"466",-67.4999885410,-10.8763998380
2179,PER,"467",-67.4999885410,-13.8763998380
2180,PER,"468",-67.4999885410,-16.8763998380
2236,BOL,"469",-64.4999885410,-10.8763998380
2237,BOL,"470",-64.4999885410,-13.8763998380
2238,BOL,"471",-64.4999885410,-16.8763998380
2239,BOL,"472",-64.4999885410,-19.8763998380
2295,BOL,"473",-61.4999885410,-13.8763998380
2296,BOL,"474",-61.4999885410,-16.8763998380
2297,BOL,"475",-61.4999885410,-19.8763998380
2354,BOL,"476",-58.4999885410,-16.8763998380
2355,BOL,"477",-58.4999885410,-19.8763998380
2116,BRA,"478",-70.4999885410,1.1236001620
2119,BRA,"479",-70.4999885410,-7.8763998380
2174,BRA,"480",-67.4999885410,1.1236001620
2175,BRA,"481",-67.4999885410,-1.8763998380
2176,BRA,"482",-67.4999885410,-4.8763998380
2177,BRA,"483",-67.4999885410,-7.8763998380
2231,BRA,"484",-64.4999885410,4.1236001620
2232,BRA,"485",-64.4999885410,1.1236001620
2233,BRA,"486",-64.4999885410,-1.8763998380
2234,BRA,"487",-64.4999885410,-4.8763998380
2235,BRA,"488",-64.4999885410,-7.8763998380
2289,BRA,"489",-61.4999885410,4.1236001620
2290,BRA,"490",-61.4999885410,1.1236001620
2291,BRA,"491",-61.4999885410,-1.8763998380
2292,BRA,"492",-61.4999885410,-4.8763998380
2293,BRA,"493",-61.4999885410,-7.8763998380
2294,BRA,"494",-61.4999885410,-10.8763998380
2347,BRA,"495",-58.4999885410,4.1236001620
2348,BRA,"496",-58.4999885410,1.1236001620
2349,BRA,"497",-58.4999885410,-1.8763998380
2350,BRA,"498",-58.4999885410,-4.8763998380
2351,BRA,"499",-58.4999885410,-7.8763998380
2352,BRA,"500",-58.4999885410,-10.8763998380
2353,BRA,"501",-58.4999885410,-13.8763998380
2406,BRA,"502",-55.4999885410,1.1236001620
2407,BRA,"503",-55.4999885410,-1.8763998380
2408,BRA,"504",-55.4999885410,-4.8763998380
2409,BRA,"505",-55.4999885410,-7.8763998380
2410,BRA,"506",-55.4999885410,-10.8763998380
2411,BRA,"507",-55.4999885410,-13.8763998380
2412,BRA,"508",-55.4999885410,-16.8763998380
2413,BRA,"509",-55.4999885410,-19.8763998380
2414,BRA,"510",-55.4999885410,-22.8763998380
2417,BRA,"511",-55.4999885410,-31.8763998380
2463,BRA,"512",-52.4999885410,4.1236001620
2464,BRA,"513",-52.4999885410,1.1236001620
2465,BRA,"514",-52.4999885410,-1.8763998380
2466,BRA,"515",-52.4999885410,-4.8763998380
2467,BRA,"516",-52.4999885410,-7.8763998380
2468,BRA,"517",-52.4999885410,-10.8763998380
2469,BRA,"518",-52.4999885410,-13.8763998380
2470,BRA,"519",-52.4999885410,-16.8763998380
2471,BRA,"520",-52.4999885410,-19.8763998380
2472,BRA,"521",-52.4999885410,-22.8763998380
2474,BRA,"522",-52.4999885410,-28.8763998380
2475,BRA,"523",-52.4999885410,-31.8763998380
2476,BRA,"524",-52.4999885410,-34.8763998380
2521,BRA,"525",-49.4999885410,4.1236001620
2522,BRA,"526",-49.4999885410,1.1236001620
2523,BRA,"527",-49.4999885410,-1.8763998380
2524,BRA,"528",-49.4999885410,-4.8763998380
2525,BRA,"529",-49.4999885410,-7.8763998380
2526,BRA,"530",-49.4999885410,-10.8763998380
2527,BRA,"531",-49.4999885410,-13.8763998380
2528,BRA,"532",-49.4999885410,-16.8763998380
2529,BRA,"533",-49.4999885410,-19.8763998380
2530,BRA,"534",-49.4999885410,-22.8763998380
2531,BRA,"535",-49.4999885410,-25.8763998380
2532,BRA,"536",-49.4999885410,-28.8763998380
2533,BRA,"537",-49.4999885410,-31.8763998380
2581,BRA,"538",-46.4999885410,-1.8763998380
2582,BRA,"539",-46.4999885410,-4.8763998380
2583,BRA,"540",-46.4999885410,-7.8763998380
2584,BRA,"541",-46.4999885410,-10.8763998380
2585,BRA,"542",-46.4999885410,-13.8763998380
2586,BRA,"543",-46.4999885410,-16.8763998380
2587,BRA,"544",-46.4999885410,-19.8763998380
2588,BRA,"545",-46.4999885410,-22.8763998380
2589,BRA,"546",-46.4999885410,-25.8763998380
2639,BRA,"547",-43.4999885410,-1.8763998380
2640,BRA,"548",-43.4999885410,-4.8763998380
2641,BRA,"549",-43.4999885410,-7.8763998380
2642,BRA,"550",-43.4999885410,-10.8763998380
2643,BRA,"551",-43.4999885410,-13.8763998380
2644,BRA,"552",-43.4999885410,-16.8763998380
