Sensitivity,Country,Id_cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,CYM,CYM_C01481,Hybrid,Alkaline,2020,Lcoh,0.40228422728028995,1.4578610826510727,4.1734985625752845,91480.71598796675,5659398.260012407
Default,CYM,CYM_C01481,Hybrid,Alkaline,2030,Lcoh,0.6813207201568725,1.2939096953926739,3.634497509242864,97441.00910764339,5343195.971149671
Default,CYM,CYM_C01481,Hybrid,Alkaline,2040,Lcoh,0.9652849391158661,1.0914510136802553,3.104497932311542,98425.14239792572,5144085.269605387
Default,CYM,CYM_C01481,Hybrid,Alkaline,2050,Lcoh,1.283027714911795,0.6656792968417605,2.6434988369443593,85933.10598519526,5449644.857180526
Default,COL,COL_C01482,Hybrid,Alkaline,2020,Lcoh,0.24719383638982245,1.47819006723034,4.274497276776218,89404.21276682327,814860.9044641873
Default,COL,COL_C01482,Hybrid,Alkaline,2030,Lcoh,0.5421580894829665,1.3678864413698544,3.7344979075383575,97884.26268177558,738121.5062642589
Default,COL,COL_C01482,Hybrid,Alkaline,2040,Lcoh,0.8961389273052388,1.1854727621047625,3.2084970153343733,101439.35364222816,679249.4711733181
Default,COL,COL_C01482,Hybrid,Alkaline,2050,Lcoh,1.1932042936517755,0.8362893101399144,2.751498643790791,92975.83523228821,698868.4992173754
Default,COL,COL_C01483,Hybrid,Alkaline,2020,Lcoh,2.059986353052565,0.0,6.647499083214889,46527.0542587868,453338.17397315823
Default,COL,COL_C01483,Hybrid,Alkaline,2030,Lcoh,2.0827494619107236,0.0,5.362497321849472,50129.45099182596,448383.48000135284
Default,COL,COL_C01483,Hybrid,Alkaline,2040,Lcoh,2.0579706107113696,0.0,4.119497984403045,51903.96664812927,453782.20993139857
Default,COL,COL_C01483,Hybrid,Alkaline,2050,Lcoh,1.99333533758245,0.0,3.2444985092058887,52926.77736527334,468496.41106302204
Default,COL,COL_C01484,Hybrid,Alkaline,2020,Lcoh,1.746771051515273,0.0,5.4134975667505385,51425.833062668564,369111950.6249604
Default,COL,COL_C01484,Hybrid,Alkaline,2030,Lcoh,1.7402549065894042,0.0,4.364498082704111,54889.2223703031,370494039.5103503
Default,COL,COL_C01484,Hybrid,Alkaline,2040,Lcoh,1.7517337011431857,0.0,3.350495469341383,57503.87632101454,368066258.9863103
Default,COL,COL_C01484,Hybrid,Alkaline,2050,Lcoh,1.711928605849657,0.0,2.622496483867787,59056.503679953326,376624391.8799488
Default,COL,COL_C01485,Hybrid,Alkaline,2020,Lcoh,1.1217441351367579,1.1145148312899278,5.484498301215607,74121.91884540323,501609682.87599236
Default,COL,COL_C01485,Hybrid,Alkaline,2030,Lcoh,1.265704907675394,1.0759516164669116,4.692497109528636,80683.74947523879,479401615.5494866
Default,COL,COL_C01485,Hybrid,Alkaline,2040,Lcoh,1.404121409836638,1.0100664817074212,3.946498685224224,84156.2252730326,465377586.1902853
Default,COL,COL_C01485,Hybrid,Alkaline,2050,Lcoh,1.813630448036692,0.0,3.231498791461869,49788.95779669651,624664291.9046552
Default,COL,COL_C01486,Hybrid,Alkaline,2020,Lcoh,2.1690774053741126,0.0,7.066498279040972,45291.708697999384,2075986617.6072779
Default,COL,COL_C01486,Hybrid,Alkaline,2030,Lcoh,2.173820550874673,0.0,5.700498734041849,48521.143074515676,2071456939.856018
Default,COL,COL_C01486,Hybrid,Alkaline,2040,Lcoh,2.1539391753133486,0.0,4.38049869081564,50325.00125389349,2090576984.5872712
Default,COL,COL_C01486,Hybrid,Alkaline,2050,Lcoh,2.079693560721008,0.0,3.4554982057705135,51191.409683020815,2165211140.3133063
Default,COL,COL_C01487,Hybrid,Alkaline,2020,Lcoh,2.0548479365119556,0.0,6.4444988916246775,47916.028649288215,2206487403.613671
Default,COL,COL_C01487,Hybrid,Alkaline,2030,Lcoh,2.033946996801246,0.0,5.197499343880431,50919.017403269645,2229161377.0593395
Default,COL,COL_C01487,Hybrid,Alkaline,2040,Lcoh,2.046847704893419,0.0,3.9934976062473075,53352.34844863031,2215111596.928147
Default,COL,COL_C01487,Hybrid,Alkaline,2050,Lcoh,1.9877675651488467,0.0,3.1444977594377503,54508.597109144604,2280948823.0660725
Default,COL,COL_C01488,Hybrid,Alkaline,2020,Lcoh,1.947910903250132,0.0,5.998499293782225,49720.445664680425,2253622041.5625715
Default,COL,COL_C01488,Hybrid,Alkaline,2030,Lcoh,1.9411542625858782,0.0,4.837498538826085,53071.65145448139,2261466299.291783
Default,COL,COL_C01488,Hybrid,Alkaline,2040,Lcoh,1.9397678013648636,0.0,3.7154984128437696,55353.78261140035,2263082696.5349956
Default,COL,COL_C01488,Hybrid,Alkaline,2050,Lcoh,1.8939392523945155,0.0,2.9204978374828605,56766.90396285372,2317843585.0117383
Default,COL,COL_C01497,Hybrid,Alkaline,2020,Lcoh,1.9958515644454982,0.0,6.20649903348886,48815.81046409771,1095748549.3243775
Default,COL,COL_C01497,Hybrid,Alkaline,2030,Lcoh,1.9904582570979557,0.0,5.005498102374883,52131.2603014015,1098717568.4841895
Default,COL,COL_C01497,Hybrid,Alkaline,2040,Lcoh,1.9680320140881433,0.0,3.8444988728431997,54002.03271952959,1111237744.4841685
Default,COL,COL_C01497,Hybrid,Alkaline,2050,Lcoh,1.9046657602265518,0.0,3.0234989143077753,55040.46800766665,1148207471.3979294
Default,COL,COL_C01498,Hybrid,Alkaline,2020,Lcoh,2.056050367010644,0.0,6.41249889740961,48174.06946420987,2754395697.0462413
Default,COL,COL_C01498,Hybrid,Alkaline,2030,Lcoh,2.0626907356979727,0.0,5.172497428936258,51641.980533069225,2745528539.8798084
Default,COL,COL_C01498,Hybrid,Alkaline,2040,Lcoh,2.043249163976079,0.0,3.9734981679227177,53558.6832088993,2771652319.0858207
Default,COL,COL_C01498,Hybrid,Alkaline,2050,Lcoh,1.9710962453967067,0.0,3.128498725618017,54467.06633853635,2873109974.7311835
Default,COL,COL_C01499,Hybrid,Alkaline,2020,Lcoh,2.084916467005216,0.0,6.3604983822484025,49017.60724455652,2207709786.0424776
Default,COL,COL_C01499,Hybrid,Alkaline,2030,Lcoh,2.0862766378956814,0.0,5.130497384311434,52459.654973626515,2206270445.4818707
Default,COL,COL_C01499,Hybrid,Alkaline,2040,Lcoh,2.0893607961376603,0.0,3.9424967041431076,54792.95351882011,2203013713.9537177
Default,COL,COL_C01499,Hybrid,Alkaline,2050,Lcoh,2.0292444191137573,0.0,3.1064976271446305,55982.27096364218,2268278007.288431
Default,COL,COL_C01500,Hybrid,Alkaline,2020,Lcoh,2.157107728092106,0.0,6.528498031492342,48848.419669774616,1587796217.297269
Default,COL,COL_C01500,Hybrid,Alkaline,2030,Lcoh,2.1597363256936344,0.0,5.266497231552207,52298.03990664527,1585863723.3725014
Default,COL,COL_C01500,Hybrid,Alkaline,2040,Lcoh,2.1545735248301603,0.0,4.047498045060498,54486.536021256536,1589663778.6994715
Default,COL,COL_C01500,Hybrid,Alkaline,2050,Lcoh,2.0834302953706887,0.0,3.192497875237724,55492.388978434705,1643946283.4814734
Default,COL,COL_C01501,Hybrid,Alkaline,2020,Lcoh,2.1186712715443705,0.0,6.476498185150752,48654.00282916383,130234878.5037537
Default,COL,COL_C01501,Hybrid,Alkaline,2030,Lcoh,2.124992623089136,0.0,5.224496645788367,52149.22175571399,129847460.47629003
Default,COL,COL_C01501,Hybrid,Alkaline,2040,Lcoh,2.113416060423658,0.0,4.01449653878343,54223.79690585574,130558719.98231253
Default,COL,COL_C01501,Hybrid,Alkaline,2050,Lcoh,2.042639547884686,0.0,3.1644984416707556,55208.059293865466,135082519.04978362
Default,COL,COL_C01502,Hybrid,Alkaline,2020,Lcoh,1.8508455928948864,0.1189064310477715,6.071498962082819,50877.66584769275,274572229.8448032
Default,COL,COL_C01502,Hybrid,Alkaline,2030,Lcoh,1.9348039069688185,0.0,4.898498284153411,52298.27011800322,279869278.52647233
Default,COL,COL_C01502,Hybrid,Alkaline,2040,Lcoh,1.9404024176976349,0.0,3.7624971105760823,54672.20803009312,279061790.7887712
Default,COL,COL_C01502,Hybrid,Alkaline,2050,Lcoh,1.8852272644510262,0.0,2.956497581403737,55895.699194048364,287229122.84596336
Default,COL,COL_C01503,Hybrid,Alkaline,2020,Lcoh,2.1928409480276687,0.0,7.13549877266029,45182.6011861626,1137447418.1735852
Default,COL,COL_C01503,Hybrid,Alkaline,2030,Lcoh,2.1753451075516246,0.0,5.755498577355416,48079.367823912195,1146595667.1154053
Default,COL,COL_C01503,Hybrid,Alkaline,2040,Lcoh,2.1728213814430077,0.0,4.423498287776532,50130.981380439276,1147927434.855653
Default,COL,COL_C01503,Hybrid,Alkaline,2050,Lcoh,2.0987978351432393,0.0,3.4904986196809857,51006.39246817459,1188414259.3606024
Default,COL,COL_C01504,Hybrid,Alkaline,2020,Lcoh,2.1757819863516237,0.0,6.8984985385682,46492.459526463135,430060213.1383994
Default,COL,COL_C01504,Hybrid,Alkaline,2030,Lcoh,2.1634320224083927,0.0,5.5644987081013,49549.15077626489,432515214.2989003
Default,COL,COL_C01504,Hybrid,Alkaline,2040,Lcoh,2.157359111970729,0.0,4.276498209152174,51607.239002235176,433732733.50782084
Default,COL,COL_C01504,Hybrid,Alkaline,2050,Lcoh,2.0810331118692007,0.0,3.373498436892133,52463.348089723906,449640738.2737896
Default,COL,COL_C01489,Hybrid,Alkaline,2020,Lcoh,0.0,1.183361023412296,2.5174965706490653,122302.62687571812,110235202.53711216
Default,COL,COL_C01489,Hybrid,Alkaline,2030,Lcoh,0.0,1.1705918025831472,2.205496697970902,129943.52902803969,111437686.30748895
Default,COL,COL_C01489,Hybrid,Alkaline,2040,Lcoh,0.0,1.1362265873884134,1.9244987303675156,132898.1185410102,114808123.25489596
