route name,olon,olat,dlon,dlat
DEU-DEHAM_HTI-HTLFF,9.99302,53.55073,-72.43333333,18.48333333
DEU-DEHAM_IND-INMRM,9.99302,53.55073,73.78333333,15.4
DEU-DEHAM_IND-INBOM,9.99302,53.55073,72.81666667,18.96666667
DEU-DEHAM_IND-INPRT,9.99302,53.55073,86.61666667,20.31666667
DEU-DEHAM_IND-INPAV,9.99302,53.55073,71.55,20.96666667
DEU-DEHAM_IND-INIXY,9.99302,53.55073,70.21666667,23.03333333
DEU-DEHAM_IND-INKTP,9.99302,53.55073,80.38333333,13.3
DEU-DEHAM_IND-INCCU,9.99302,53.55073,88.35,22.56666667
DEU-DEHAM_IND-INMRM,9.99302,53.55073,73.78333333,15.4
DEU-DEHAM_ISR-ILHFA,9.99302,53.55073,34.98333333,32.8
DEU-DEHAM_IND-INMAA,9.99302,53.55073,80.28333333,13.08333333
DEU-DEHAM_IND-INCOK,9.99302,53.55073,76.23333333,9.966666667
DEU-DEHAM_IND-INHZR,9.99302,53.55073,72.62343557,21.09641041
DEU-DEHAM_IDN-IDTNJ,9.99302,53.55073,104.45,0.916666667
DEU-DEHAM_IDN-IDTMK,9.99302,53.55073,136.55,-4.75
DEU-DEHAM_IDN-IDTUA,9.99302,53.55073,132.7333333,-5.633333333
DEU-DEHAM_MEX-MXPMD,9.99302,53.55073,-92.41666667,14.71666667
DEU-DEHAM_MEX-MXPMS,9.99302,53.55073,-86.86666667,20.83333333
DEU-DEHAM_MEX-MXTAM,9.99302,53.55073,-97.86666667,22.25
DEU-DEHAM_MEX-MXTUX,9.99302,53.55073,-97.4,20.95
DEU-DEHAM_MEX-MXLZC,9.99302,53.55073,-102.1833333,17.95
DEU-DEHAM_MEX-MXZLO,9.99302,53.55073,-104.3,19.05
DEU-DEHAM_MEX-MXMZT,9.99302,53.55073,-106.4,23.4
DEU-DEHAM_MEX-MXPRO,9.99302,53.55073,-92.2,18.18333333
DEU-DEHAM_MEX-MXATM,9.99302,53.55073,-97.91666667,22.4
DEU-DEHAM_MEX-MXCOA,9.99302,53.55073,-94.4,18.13333333
DEU-DEHAM_MEX-MXESE,9.99302,53.55073,-116.6,31.85
DEU-DEHAM_MEX-MXGYM,9.99302,53.55073,-110.8833333,27.91666667
DEU-DEHAM_MMR-MMTLA,9.99302,53.55073,96.25,16.65
DEU-DEHAM_MUS-MUPMA,9.99302,53.55073,63.41666667,-19.68333333
DEU-DEHAM_MDV-MVMLE,9.99302,53.55073,73.5,4.166666667
DEU-DEHAM_NGA-NGONN,9.99302,53.55073,7.15,4.716666667
DEU-DEHAM_NIC-NIRAM,9.99302,53.55073,-84.21666667,12.15
DEU-DEHAM_NAM-NALUD,9.99302,53.55073,15.16666667,-26.65
DEU-DEHAM_NCL-NCNOU,9.99302,53.55073,166.45,-22.26666667
DEU-DEHAM_NCL-NCNOU,9.99302,53.55073,166.45,-22.26666667
DEU-DEHAM_NGA-NGLKK,9.99302,53.55073,3.1,6.45
DEU-DEHAM_MEX-MXVER,9.99302,53.55073,-96.08333333,19.2
DEU-DEHAM_MYS-MYPEN,9.99302,53.55073,100.3166667,5.416666667
DEU-DEHAM_MYS-MYPKG,9.99302,53.55073,101.4,3
DEU-DEHAM_MYS-MYTPP,9.99302,53.55073,103.55,1.366666667
DEU-DEHAM_KOR-KRMAS,9.99302,53.55073,128.5666667,35.2
DEU-DEHAM_KOR-KRMOK,9.99302,53.55073,126.3833333,34.8
DEU-DEHAM_KOR-KRKPO,9.99302,53.55073,129.3666667,36.03333333
DEU-DEHAM_KOR-KRPTK,9.99302,53.55073,127.1,36.96666667
DEU-DEHAM_KOR-KRTJI,9.99302,53.55073,126.7833333,36.96666667
DEU-DEHAM_KOR-KRKUV,9.99302,53.55073,126.7166667,35.98333333
